Name;FAT16, dosfs; FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems;
Linux;{{yes}};{{yes}}{{r|group=Note|f5}}{{r|group=Note|f7}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}}[34];{{yes}};{{yes}}{{r|group=Note|f9}};{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};9P,{{r|group=Note|f3}} FUSE,{{r|group=Note|f3}} sysfs,{{r|group=Note|f3}} configfs,{{r|group=Note|f3}} Reiser4,{{r|group=Note|f3}}{{r|group=Note|f4}} JFS, Btrfs, UnionFS, Ext4;
FreeBSD;{{yes}};{{yes}}{{r|group=Note|f2}}{{r|group=Note|f7}};{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}}{{r|group=Note|f5}};{{yes}}{{r|group=Note|f2}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};FUSE, nullfs, UnionFS;
NetBSD;{{yes}};{{yes}}{{r|group=Note|f2}}{{r|group=Note|f7}};{{yes}};;{{no}};{{no}};{{yes}};{{yes}};;{{yes}}{{r|group=Note|f2}};{{no}};{{no}};{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}};{{yes}};{{yes}};{{yes}};PUFFS, LFS, EFS;
OpenBSD;{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}};;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};AFS;
DragonFly BSD;{{yes}};{{yes}}{{r|group=Note|f2}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}}{{r|group=Note|f10}};{{yes}};{{yes}};{{yes}};{{no}};HAMMER, nullfs, PUFFS;
OpenSolaris, illumos;{{yes}};{{yes}} {{r|group=Note|f7}}{{r|group=Note|f8}};{{no}};{{no}};{{no}};{{no}};{{yes}};;{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};SMB (native), QFS;
AuroraUX;{{yes}};{{yes}} {{r|group=Note|f7}}{{r|group=Note|f8}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};SMB (native), QFS;
Darwin, OpenDarwin;{{yes}};{{yes}}{{r|group=Note|f2}}{{r|group=Note|f7}};;;;;{{yes}};;{{yes}};{{yes}};;;{{yes}};{{yes}};{{yes}};{{yes}};;;;
MINIX;{{yes}};{{no}};{{yes}};;;;;;;;{{yes}};{{no}};;;;;;;;
FreeDOS;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{no}};{{no}};{{yes}};;;;{{yes}};;;
Genode;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};Extensible VFS layer;
