Report date;Place;Period;Amount (TBq);Source;
12 April 2011;Chernobyl;25 April – June 1986;5 200 000;NISA[20];
12 April 2011;Fukushima;11 March – 5 April 2011;630 000;NSC[19][20];
12 April 2011;Fukushima;11 – 17 March 2011;370 000;NISA[20];
April 2011;Fukushima;4 April 2011;154;NSC[19];
25 April 2011;Fukushima;24 April 2011;24;NSC[19];
6–7 June 2011;Fukushima;11 – 17 March 2011;770 000;NISA[24]>[21];
7 June 2011;Fukushima;11 – 17 March 2011;840 000;NISA,[25] press printing[24];
17 August 2011;Fukushima;3–16 August 2011;0.07;Government[26];
23 August 2011;Fukushima;12 March - 5 April 2011;630 000;NISA[27];
