Editor;Site;Latest version;Style, clone of;Cost (US$);Software license;Open source;Browser support;Activity;
Ace;Home, demo;1.3.3, 2018-03-26;Sublime Text / Microsoft Visual Studio;{{free}};New BSD License;{{yes| Yes}};Firefox 3.5+, Safari 4+, Chrome, IE 8+, Opera 11.5+;{{yes}};
Atom;Home;1.7.3, 2016-04-28;Emacs, Vim and others;{{Free}};Dual;{{Yes}};Chrome;{{yes}};
CodeMirror;Home, demo;5.39.0, 2018-06-20;plain textarea;{{free}};MIT-like;{{yes| Yes}};Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+[1];{{yes}};
Codeanywhere;Home;6.0;SublimeText;;Public Cloud;{{no}};Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+;{{yes}};
Codenvy Editor;Home;2.10.17, 2014-01-17;Eclipse;;Public Cloud;{{yes}};Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+;{{yes}};
Orion;Home;8.0, 2015-03-04;Eclipse SWT StyledText, regular textarea;{{free}};dual-licensed: BSD 3-clause and EPL;{{yes| Yes}};Firefox 37+, Chrome 40+, Safari7+, Internet Explorer 11+[2];{{yes}};
Monaco Editor;Home, demo;0.15.6, 2018-11-23;Visual Studio Code;{{free}};MIT;{{yes| Yes}};IE8+, Firefox 4+, Chrome;{{yes}};
Markitup;Home, demo;1.1.14, 2013-02-04;Markup editor, no syntax highlight;{{free}};MIT, GPL;{{yes}};IE 6 & 7, Firefox 2 & 3, Safari 3.1, Opera 9+[3];{{some}};
LDT;Home;2012-02-19;regular textarea;{{free}};MIT, GPL;{{yes| Yes}};Firefox 3.6+, IE8, Chromium 16, Midori 4.1, Opera 11, Epiphany;{{some}};
Ymacs;Home, demo;0.5, 2012-03-28;Emacs;{{free}};BSD;{{yes| Yes}};Firefox, Chrome, Safari;{{some}};
CodePress;Home;0.9.6, 2007-09-26;Microsoft Visual Studio;{{free}};LGPL;{{yes}};{{dunno}};{{no}};
CodeTextArea;Home, demo;2009-06;Microsoft Visual Studio;{{free}};BSD;{{yes}};Dojo widget;{{no}};
EditArea;Home, demo;0.8.2, 2010-01-14;Microsoft Visual Studio;{{free}};LGPL;{{yes}};IE 6+, Firefox 1.5+, Safari 3+, Opera 9+, Chrome[4];{{no}};
Helene;Home, demo;0.9, unknown release date;Microsoft Visual Studio;{{free}};GPL;{{yes}};;{{no}};
9ne;Home;{{dunno}};Emacs;{{free}};GPL;{{yes}};;{{no}};
jsvi;Home;{{dunno}};vi;{{free}};GPL;{{yes}};;{{no}};
MDK-Editor;Home;2.10, 2008;Microsoft Visual Studio;{{depends| Depends on use}};Dual;{{no| Code is readable}};tested to work on: IE 6, 7 - Firefox 2, 3 - Chrome;{{Yes}};
Micro;Home;2013;nano;{{free}};GPL;{{yes}};;{{some}};
