Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
GeForce2 MX IGP + nForce 220/420;June 4, 2001;NV1A;180;FSB;175;133;2:4:2;350;350;700;0;Up to 32 system RAM;2.128 4.256;DDR;64 128;
GeForce2 MX200;March 3, 2001;NV11;180;AGP 4× PCI;175;166;2:4:2;350;350;700;0;32 64;1.328;SDR;64;
GeForce2 MX;June 28, 2000;NV11;180;AGP 4× PCI;175;166;2:4:2;350;350;700;0;32 64;2.656;SDR;128;
GeForce2 MX400;March 3, 2001;NV11;180;AGP 4× PCI;200;166,200 (SDR) 166 (DDR);2:4:2;400;400;800;0;32 64;2.656, 3.200;SDR DDR;128 (SDR) 64 (DDR);
GeForce2 GTS;April 26, 2000;NV15;180;AGP 4× PCI;200;166;4:8:4;800;800;1600;0;32 64;5.312;DDR;128;
GeForce2 Pro;December 5, 2000;NV15;180;AGP 4× PCI;200;200;4:8:4;800;800;1600;0;32 64;6.4;DDR;128;
GeForce2 Ti;October 1, 2001;NV15;150;AGP 4× PCI;250;200;4:8:4;1000;1000;2000;0;32 64;6.4;DDR;128;
GeForce2 Ultra;August 14, 2000;NV16;180;AGP 4× PCI;250;230;4:8:4;1000;1000;2000;0;64;7.36;DDR;128;
