;Windows;macOS;Linux;iOS;BSD;Unix;AmigaOS;Other;
Ability Photopaint;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
ACD Canvas;{{yes}};{{partial|Dropped[7]}};{{no}};;{{no}};{{no}};{{no}};{{no}};
ACDSee;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Acorn Image Editor;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Adobe Fireworks*;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Adobe Photoshop;{{yes}};{{yes}};{{no}};{{yes}} (iPad);{{no}};{{no}};{{no}};{{no}};
Adobe Photoshop Lightroom;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Affinity Photo;{{yes}};{{yes}};{{no}};{{yes}} (iPad);{{no}};{{no}};{{no}};{{no}};
Aperture;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Autodesk SketchBook Pro;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Android}};
Artipic;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
ArtRage;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|Android}};
Artweaver;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Bibble*;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};
Bloom Image Editor;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};
Brush Strokes Image Editor;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Capture One;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Chasys Draw IES;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
CinePaint;{{partial|Version 0.17 only}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
CodedColor PhotoStudio Pro;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Corel PaintShop Pro;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Corel Painter;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Corel Photo-Paint;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
darktable;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{yes|Solaris}};
Deluxe Paint*;{{no}};{{no}};{{no}};;{{no}};{{no}};{{yes}};{{yes|Atari ST, DOS}}[8];
DigiKam;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
Erdas Imagine;{{yes}};{{no}};{{no}};;{{no}};{{yes}};{{no}};{{no}};
Fatpaint;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};
Fotografix;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
F-Spot;{{no}};{{no}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
G'MIC;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
GIMP;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{partial|Needs X11 Cygnix}};{{yes|SkyOS}};
GimPhoto;{{yes}};{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};
GIMPshop;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
GNU Paint;{{no}};{{no}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
GrafX2;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes|Haiku, MiNT, DOS}};
GraphicConverter;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
GraphicsMagick;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
gThumb;{{no}};{{no}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
HDR PhotoStudio;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Helicon Filter;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
ImageJ;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
ImageMagick;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
iPhoto*;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
IrfanView;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Iridient Developer;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Kolourpaint;{{yes}};{{no}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
Krita;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
LazPaint;{{yes}};{{partial|Partial[9]}};{{yes}};;{{no}};{{no}};{{no}};{{no}};
LiveQuartz;{{no}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
MacPaint*;{{no}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{yes|Mac OS}}[10];
Microsoft Office Picture Manager*;{{yes}};{{yes}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Microsoft Paint;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Microsoft Photo Editor*;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
MyPaint;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};
OpenCanvas;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Paint.NET;{{yes}};{{no}};{{partial|Partial[11]}};;{{no}};{{no}};{{no}};{{no}};
PC Paintbrush*;{{no}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{yes|DOS}}[12];
Pencil2D;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
Phatch;{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};{{no}};
Photofinish*;{{yes}};{{no}};{{no}};;{{no}};{{no}};{{no}};{{no}};
Photogenics;{{yes}};{{no}};{{yes}};;{{no}};{{no}};{{partial|Up to version 5}};{{yes|Pocket PC}};
