File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Checksum/ ECC;
ext;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Xiafs;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
ext2;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}{{efn |name=note-23 |Some Installable File System drivers and operating systems may not support extended attributes, access control lists or security labels on these filesystems. Linux kernels prior to 2.6.x may either be missing support for these altogether or require a patch.}};{{yes}}{{efn |name=note-23}};{{yes}};{{no}};
ext3;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}{{efn |name=note-23}};{{yes}}{{efn |name=note-23}};{{yes}};{{no}};
ext4;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}}{{efn |name=note-23}};{{yes}}{{efn |name=note-23}};{{yes}};{{partial}}{{efn | Journal and metadata only[28]}};
NOVA;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};
Lustre;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};
F2FS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}}{{efn |name=note-23}};{{yes}}{{efn |name=note-23}};{{yes}};{{no}};
GPFS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
GFS;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}{{efn |name=note-23}};{{yes}}{{efn |name=note-23}};{{yes}};{{no}};
NILFS;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};
ReiserFS;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}{{efn |name=note-23}};{{yes}}{{efn |name=note-23}};{{yes}};{{no}};
Reiser4;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
OCFS;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
OCFS2;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
XFS;{{yes}};{{yes}};{{partial}}{{efn |name=note-35 |Creation time stored since June 2015, xfsprogs version 3.2.3}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}}{{efn |name=note-23}};{{yes}};{{partial}}{{efn |name=note-34 |Metadata checksums stored since June 2015, xfsprogs version 3.2.3}};
JFS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};
QFS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
BFS;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
AdvFS;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
