Company;Software;On-demand scan;On-access scan;Boot-time scans;Heuristics;CloudAV;Firewall;IDS;IPS;Sandbox;Email Security;AntiSpam;Web protection;Macro protection;Live Update;Support;Settings Import/ Export;installer/ updater MIMA safe;License;Price;First release;Country of origin;Original author/s;Notes;
AhnLab;AhnLab V3 Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Nonfree}};1988;South Korea;Dr. Ahn Cheol-Soo;;
Avast;Avast Free Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{Free}};1988;Czech Republic;Pavel Baudiš and Eduard Ku?era;;
Avast;Avast Pro Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{some|Trialware}};1997;Czech Republic;Pavel Baudiš and Eduard Ku?era;;
Avast;Avast Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{some|Trialware}};2009;Czech Republic;Pavel Baudiš and Eduard Ku?era;;
Avast;Avast Premier;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{some|Trialware}};2012;Czech Republic;Pavel Baudiš and Eduard Ku?era;;
AVG Technologies (avast);AVG Antivirus FREE;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};?;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{Free}};1992;Czech Republic;Jan Gritzbach and Tomáš Hofer;;
AVG Technologies (avast);AVG Antivirus;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{Nonfree}};2006;Czech Republic;Jan Gritzbach and Tomáš Hofer;;
AVG Technologies (avast);AVG Internet Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};;{{Proprietary}};{{Nonfree}};2008;Czech Republic;Jan Gritzbach and Tomáš Hofer;;
Avira;Avira Antivirus FREE (formerly AntiVir);{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};?;{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;;{{Proprietary}};{{Free}};1988;Germany;Tjark Auerbach;;
