Client;IP to Country;Protocol Obfuscation[12];Handles files >4GB;Chat[13];Buddy list;Send FILERATING tags to servers;EndGame;AICH;L2HAC [14];Secure User ID;Global Searches;UPnP port mapping[15];Intelligent Chunk Selection;Lancast;HideOS / SotN;
aMule;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}}[16];{{no}};{{no}};{{no}};
eMule;Official;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|zz's Version}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Osp;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|zz's Version}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
AnalyZZUL;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|zz's Version}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
beba;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{no}};
Magic Angel;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{yes|both}};
Mephisto;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|both}};
MorphXT;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{yes|both}};
NeoMule;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|own simplified implementation}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 2}};{{yes|Version 2}};{{yes|own implementation}};
ScarAngel;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|both}};
SharkX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{no}};
Sivka;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|Version 1}};{{yes|HideOS}};
Spike2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{no}};
StulleMule;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{yes|both}};
Xtreme;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|own implementation}};
X-Ray;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DBR}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Version 1}};{{no}};{{no}};
ZZUL;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|zz's Version}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
ZZUL BastarD;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|zz's Version}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
eMule Plus;{{yes}};{{no}};{{yes|up to 512GB}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|Version 1}};{{yes|manual hiding}};
Lphant;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial|CCH (similar to ICH)}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{yes|Version 1}};{{no}};
MLDonkey;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Shareaza;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
xMule;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Client;IP to Country;Protocol Obfuscation[12];Handles files >4GB;Chat[13];Buddy list;Send FILERATING tags to servers;EndGame;AICH;L2HAC [14];Secure User ID;Global Searches;UPnP port mapping[15];Intelligent Chunk Selection;Lancast;HideOS / SotN;
