Name;Computer architectures supported;File systems supported;Kernel type;Source lines of code;GUI default is on[13];Package management;Update management;Native APIs[14];Non-native APIs supported through subsystems;
Solaris;x86, x86-64, SPARC;UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others;Monolithic with modules;;Yes;SysV packages (pkgadd) Image Packaging System (pkg) (Solaris 11 and later);Image Packaging System (Solaris 11 and later);SysV/POSIX, GTK, Java;Win16,[19] Win32,[19] Mono, Linux[28];
OpenSolaris;x86, x86-64, SPARC(AI);UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others;Monolithic with modules;grep total | awk '{ sum += $1 } END {print sum }' on [1] results in 18793105;Yes;Image Packaging System (pkg), SysV packages (pkgadd);Image Packaging System;SysV/POSIX, GTK, Java;Win16,[19] Win32,[19] Mono, Linux[28];
STOP 6, XTS-400;x86;Proprietary;Monolithic;;No;RPM for some untrusted applications;Binary updates via postal mail and proprietary tools;Some: SysV, POSIX, Linux, proprietary;;
Symbian;ARM;FAT;Microkernel;;Yes;SIS files;FOTA;Proprietary;POSIX compatibility layer;
TrueOS;x86, x86-64[29];UFS2, ext2, ext3, FAT, ISO 9660, UDF, NFS, ReiserFS (read only), XFS (experimental) and others;Monolithic with modules;;Yes;Ports collection, packages, PBI Graphical Installers;by PBI updates, source, network binary update (freebsdupdate);BSD-POSIX;Win16,[19] Win32[19];
Windows Server (NT family);x86, x86-64, IA-64;NTFS, FAT, ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS,[30] and HFS;Hybrid with modules;~45 million[31];Yes;MSI, custom installers;Windows Update;Win32, NT API;DOS API, Win16 (only in 32-bit versions), POSIX, .NET;
Windows (NT family);x86, x86-64, ARM;NTFS, FAT exFAT ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS,[30] HFS+, FATX, and HFS (with third party driver);Hybrid with modules;~40 (XP)/64 (Vista and later) million{{Citation needed|date=February 2007}};Yes;MSI, custom installers;Windows Update;Win32, NT API;DOS API, Win16 (only in 32-bit versions), POSIX, .NET;
ZETA;x86;BFS (default), FAT, ISO 9660, UDF, HFS, AFP, ext2, CIFS, NTFS (read only), ReiserFS (read only, up to v3.6);Hybrid;;Yes;SoftwareValet, script-based installers;None;POSIX, BeOS API;;
z/OS;z/Architecture;VSAM, BDAM, QSAM, BPAM, HFS, zFS, etc.;Protected, multithreading, multitasking nucleus with programmable/user replaceable extensions. Not kernel-based.{{clarify|reason=How is the z/OS nucleus different from an OS kernel?|date=January 2016}};;No;None, SMP/E;SMP/E;Filesystem access methods, Systems Services, etc.;POSIX, many others.;
Name;Computer architectures supported;File systems supported;Kernel type;Source lines of code;GUI default is on[13];Package management;Update management;Native APIs[14];Non-native APIs supported through subsystems;
