;FAT12;FAT16;FAT32;HPFS;ISO 9660;NTFS;UDF (More Info);ReFS;
Windows Phone 8;{{dunno}};{{Yes}};{{Yes}};{{No}};{{dunno}};{{Yes}} v5;{{dunno}};{{No}};
Windows Phone 8.1;{{dunno}};{{Yes}};{{Yes}};{{No}};{{dunno}};{{Yes}} v5;{{dunno}};{{No}};
Windows 10 Mobile;{{dunno}};{{Yes}};{{Yes}};{{No}};{{dunno}};{{Yes}} v5;{{dunno}};{{dunno}};
