Software;Compare multiple files;Hash single file;Hash several files;Hash directories & sub-directories;exclude filter;Binary output;Bubble Babble output;Base64 output;Hexadecimal output;
AccuHash;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
BeaverSFV;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
CDCheck;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
cfv;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Checksum Compare;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
Checksums;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};
CHK;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{yes}};
cksum;{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
CyoHash;{{no}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
Data Digester;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{yes}};{{yes}};
DeepDigest;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};
DySFV;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
ExactFile;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
eXpress CheckSum Calculator;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FastSum;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
FCIV;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{yes}};
Febooti Hash & CRC;{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{yes}};
FileVerifier++;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{yes}};
FlashSFV;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FSUM;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FSUM Frontend;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};
PowerShell's Get-FileHash;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
Hashcalc;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
HashCheck Shell Extension;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
HashForm;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
HashShell;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
ilSFV;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
Jacksum;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
jdigest;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
jHashCalc;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
MD5 File Hasher;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
MD5 & SHA Checksum Utility;{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
md5deep;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
md5sum;{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
MD5summer;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
MD5 Win Verifier;{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{dunno}};
QuickSFV;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
PeaZip;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
RapidCRC;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
RekSFV;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
RHash;{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
SafeFileManager;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Sigcheck;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};
SFV Checker;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
sha1sum;{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
sha3sum;{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
SuperSFV;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
TeraCopy;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};
Tom's Hash Explorer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};
Toolsley Hash & Validate;{{dunno}};{{yes}};{{dunno}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};
Total Commander;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
WinHasher;{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};
wxChecksums;{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};
Software;Compare multiple files;Hash single file;Hash several files;Hash directories & sub-directories;exclude filter;Binary output;Bubble Babble output;Base64 output;Hexadecimal output;
