Mail Server;DNSBL;SURBL;Spamtraps;Greylisting;SPF;DKIM;DMARC;Tarpit;Bayesian filters;Regular expressions;Embedded Antivirus;Embedded Antispam;
agorum core;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Apache James;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}} ClamAV[27];{{optional}} (Apache SpamAssassin);
Axigen;{{yes}};{{yes}}[28];{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}}, in SpamAssassin;{{yes}};{{yes}} CYREN;{{yes}} CYREN;
Citadel;{{yes}};{{yes}};{{no}};{{no}};{{optional}} (via SpamAssassin);{{dunno}};{{dunno}};{{no}};{{optional}} (via SpamAssassin);{{no}};{{optional}} (ClamAV);{{optional}} (SpamAssassin);
Courier Mail Server;{{yes}};{{dunno}};{{yes}};{{yes}}[29];{{yes}};{{yes}}[30];{{yes}}[31];{{yes}};{{yes}}[29];{{yes}}[29];{{yes}} Clamav;{{yes}}[29];
Dovecot;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Eudora Internet Mail Server;{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Exim;{{yes}};{{yes}};{{yes}};{{yes}};{{optional}} at build time;{{yes}};{{optional}} at build time;{{yes}};{{optional}} with spamassassin etc.;{{yes}};{{optional}} any;{{optional}} any;
FirstClass;{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}} Symantec;{{dunno}};
Gordano Messaging Suite;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}} CYREN, Authentium;{{yes}} CYREN;
GroupWise;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Halon;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{optional}} (via SpamAssassin);{{yes}};{{optional}} (Sophos, ClamAV);{{optional}} (CYREN, SpamAssassin);
Haraka;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{optional}} with spamassassin etc.;{{yes}};{{optional}} ClamAV, AVG, any via plugins;{{optional}} SpamAssassin, MessageSniffer;
