Client;First public release;First stable release;Latest stable release;
Date;Version;Date;Version;
AndroidChat;2008;;;;{{Latest stable software release/AndroidChat}};
Colloquy (software);January 28, 2009;1.0;;;{{Latest stable software release/Colloquy}};
fIRC;December 22, 2008;0.1.0;;;{{Latest stable software release/fIRC}};
jmIrc;May 14, 2004;0.60;;;{{Latest stable software release/jmIrc}};
k-IRC;August 20, 2002;1.0;;;{{Latest stable software release/k-IRC}};
Virca;2003;0.0.1;;;{{Latest stable software release/Virca}};
wIRC;;;;;{{Latest stable software release/wIRC}};
WLIrc;September 15, 2003;0.90;;;{{Latest stable software release/WLIrc}};
Yaaic;March 14, 2010;0.1;;;{{Latest stable software release/Yaaic}};
Simple IRC;November 18, 2016;1.0;;;{{Latest stable software release/Simple IRC}};
zsIRC;June 13, 2006;;;;{{Latest stable software release/zsIRC}};
Client;Date;Version;Date;Version;Latest stable release;
First public release;First stable release;
