First public release;First stable release;Latest stable release;
Client;Date;Version;Date;Version;
Bersirc;1999;;;;{{Latest stable software release/Bersirc}};
BitchX;1996;;;;{{Latest stable software release/BitchX}};
ChatZilla;2001;;;;{{Latest stable software release/ChatZilla}};
Colloquy;2005;;;;{{Latest stable software release/Colloquy}};
degesch;2015;0.9;2015;0.9;;
DMDirc;2007;;;;{{Latest stable software release/DMDirc}};
ERC;1999?;;;;{{Latest stable software release/ERC}};
F-IRC;2006?;0.1;;;1.36 (Februari 23, 2014);
HexChat;2009-10-04;r249;2009-10-09;2.86.0;{{Latest stable software release/HexChat}};
HydraIRC;2002;;;;{{Latest stable software release/HydraIRC}};
IceChat;2002;3.0;2002-04-08;3.0;{{Latest stable software release/IceChat}};
ircII;1990;;;;{{Latest stable software release/ircII}};
IRCjr;2008;;2008;;{{Latest stable software release/IRCjr}};
Ircle;1995;;;;{{Latest stable software release/Ircle}};
Irssi;1999;;;;{{Latest stable software release/Irssi}};
jIRCii;?;?;;;?;
KVIrc;1998;0.6.0;1999-12-21;1.0.0;{{Latest stable software release/KVIrc}};
Konversation;2002;;;;{{Latest stable software release/Konversation}};
LeafChat;?;1.0;;;{{Latest stable software release/LeafChat}};
LimeChat;2007;;;;{{Latest stable software release/LimeChat}};
Linkinus;2007;;;;{{Latest stable software release/Linkinus}};
Mibbit;2008;;;;web application, no version;
mIRC;1995;;;;{{Latest stable software release/mIRC}};
Nettalk;2004;;;;{{Latest stable software release/Nettalk}};
Opera;1996;;;;{{Latest stable software release/Opera}};
PIRCH;1995;;;;{{Latest stable software release/PIRCH}};
PJIRC;2002;;;;{{Latest stable software release/PJIRC}};
Quassel;2008-08-27;0.3.0;;;{{Latest stable software release/Quassel IRC}};
qwebirc;2009;0.81;;;{{Latest stable software release/qwebirc}};
rIRC;2010;Preview Release 1;2012;1.44;1.4.4 (January 16, 2012);
Scrollback;2013;;2013;;;
rcirc;?;?;;;{{Latest stable software release/rcirc}};
Smuxi;2008-07-29;0.6;2010-09-03;0.8;{{Latest stable software release/Smuxi}};
Snak;1997;;;;{{Latest stable software release/Snak}};
Visual IRC;1995;;;;{{Latest stable software release/Visual IRC}};
WeeChat;2003;;;;{{Latest stable software release/WeeChat}};
XChat;1998;;;;{{Latest stable software release/XChat}};
Client;Date;Version;Date;Version;Latest stable release;
First public release;First stable release;
