Encryption;Developer;First released;Licensing;Maintained?;
Aloaha Crypt Disk;Aloaha;2008;{{free|Open source}}{{Citation needed|date=September 2016}};{{yes}};
ArchiCrypt Live;Softwaredevelopment Remus ArchiCrypt;1998;{{Proprietary}};{{yes}};
BestCrypt;Jetico;1993[1];{{Proprietary}};{{yes}};
BitArmor DataControl;BitArmor Systems Inc.;2008-05;{{Proprietary}};{{yes}};
BitLocker;Microsoft;2006;{{Proprietary}};{{yes}};
Bloombase Keyparc;Bloombase;2007;{{Proprietary}};{{no}}[2];
Boxcryptor;Secomba GmbH;2011;{{Proprietary}};{{yes}};
CGD;Roland C. Dowdeswell;2002-10-04[3];{{free|BSD}};{{yes}};
CenterTools DriveLock;CenterTools;2008;{{Proprietary}};{{yes}};
Check Point Full Disk Encryption;Check Point Software Technologies Ltd;1999[4][5][6];{{Proprietary}};{{yes}};
CipherShed;CipherShed Project;2014[7];{{nonfree|TrueCrypt License Version 3.0}}[8];{{no}};
CrossCrypt;Steven Scherrer;2004-02-10[9];{{free|GPL}};{{no}};
CryFS;Sebastian Messmer;2015;{{free|LGPLv3}};{{yes}};
Cryhod;Prim'X Technologies;2010;{{Proprietary}};{{yes}};
Cryptainer;Cypherix Software;1999;{{Proprietary}};{{yes}};
CryptArchiver;WinEncrypt;{{dunno}};{{Proprietary}};{{yes}};
Cryptoloop;{{dunno}};2003-07-02[10];{{free|GPL}};{{no}};
Cryptomator;Skymatic UG (haftungsbeschränkt);2016-03-09;{{free|MIT / X Consortium License}};{{yes}};
CryptoPro Secure Disk Enterprise;cpsd it-services GmbH;2010;{{Proprietary}};{{yes}};
CryptoPro Secure Disk for BitLocker;cpsd it-services GmbH;2012;{{Proprietary}};{{yes}};
CryptSync;Stefan Küng;2012;{{free|Gpl v2}};{{yes}};
Discryptor;Cosect Ltd.;2008;{{Proprietary}};{{no}};
DiskCryptor;ntldr;2007;{{free|GPL}};{{yes}};
DISK Protect;Becrypt Ltd;2001;{{Proprietary}};{{yes}};
Cryptsetup / Dmsetup;Christophe Saout;2004-03-11[11];{{free|GPL}};{{yes}};
Dm-crypt / LUKS;Clemens Fruhwirth (LUKS);2005-02-05[12];{{free|GPL}};{{yes}};
DriveCrypt;SecurStar GmbH;2001;{{Proprietary}};{{yes}}[13];
DriveSentry GoAnywhere 2;DriveSentry;2008;{{Proprietary}};{{No}};
E4M;Paul Le Roux;1998-12-18[14];{{free|Open source}};{{no}};
e-Capsule Private Safe;EISST Ltd.;2005;{{Proprietary}};{{yes}};
eCryptfs;Dustin Kirkland, Tyler Hicks, (formerly Mike Halcrow);2005[15];{{free|GPL}};{{yes}};
EgoSecure HDD Encryption;EgoSecure GmbH;2006;{{Proprietary}};{{yes}};
EncFS;Valient Gough;2003[16];{{free|LGPLv3}};{{yes}};
EncryptStick;ENC Security Systems;2009;{{Proprietary}};{{yes}};
FileVault;Apple Inc.;2003-10-24;{{Proprietary}};{{yes}};
FileVault 2;Apple Inc.;2011-07-20;{{Proprietary}};{{yes}};
FinalCrypt;Ron de Jong;2017-11-16;{{free|Creative Commons}};{{yes}};
FREE CompuSec;CE-Infosys;2002;{{Proprietary}};{{yes}};
FreeOTFE;Sarah Dean;2004-10-10[17];{{free|Open source}};{{no}};
GBDE;Poul-Henning Kamp;2002-10-19[18];{{free|BSD}};{{no}};
GELI;Pawel Jakub Dawidek;2005-04-11[19];{{free|BSD}};{{yes}};
GnuPG;Werner Koch;1999-09-07[20];{{free|GPL}};{{yes}};
gocryptfs;Jakob Unterwurzacher;2015-10-07[21];{{free|MIT / X Consortium License}};{{yes}};
Knox;AgileBits;2010;{{Proprietary}};{{yes}};
KryptOS;The MorphOS Development Team;2010;{{Proprietary}};{{yes}};
LibreCrypt;tdk;2014-06-19[22];{{free|Open source}};{{no}};
Loop-AES;Jari Ruusu;2001-04-11;{{free|GPL}};{{yes}};
McAfee Drive Encryption (SafeBoot);McAfee, Inc.;2007[23];{{Proprietary}};{{yes}};
n-Crypt Pro;n-Trance Security Ltd;2005;{{Proprietary}};{{yes}};
PGPDisk;PGP Corporation (acquired by Symantec in 2010);1998-09-01[24];{{Proprietary}};{{yes}};
Private Disk;Dekart;1993[25];{{Proprietary}};{{yes}};
ProxyCrypt;v77;2013;{{free|Open source}};{{yes}};
R-Crypto;R-Tools Technology Inc;2008;{{Proprietary}};{{yes}};
SafeGuard Easy;Sophos (Utimaco);1993[26];{{Proprietary}};{{yes}};
SafeGuard Enterprise;Sophos (Utimaco);2007[27];{{Proprietary}};{{yes}};
SafeGuard PrivateDisk;Sophos (Utimaco)[28];2000;{{Proprietary}};{{yes}};
SafeHouse Professional;PC Dynamics, Inc.;1992;{{Proprietary}};{{yes}};
Scramdisk;Shaun Hollingworth;1997-07-01;{{free|Open source}};{{no}};
Scramdisk 4 Linux;Hans-Ulrich Juettner;2005-08-06[29];{{free|GPL}};{{no}};
SecuBox;Aiko Solutions;2007-02-19;{{Proprietary}};{{yes}};
SECUDE Secure Notebook;SECUDE;2003;{{Proprietary}};{{yes}};
SecureDoc;WinMagic Inc.;1997;{{Proprietary}};{{yes}};
Sentry 2020;SoftWinter;1998[30];{{Proprietary}};{{no}};
Softraid / RAID C;OpenBSD;2007-11-01[31];{{free|BSD}};{{yes}};
SpyProof!;Information Security Corp.;2002;{{Proprietary}};{{yes}};
Svnd / Vnconfig;OpenBSD;2000-12-01[32];{{free|BSD}};{{yes}};
Symantec Endpoint Encryption;Symantec Corporation;2008;{{Proprietary}};{{yes}};
Tcplay;Alex Hornung;2012-01-28[33];{{free|BSD}};{{yes}};
Trend Micro Endpoint Encryption (Mobile Armor);Trend Micro[34];2004 or earlier[35];{{Proprietary}};{{yes}};
TrueCrypt;TrueCrypt Foundation;2004-02-02[36];{{nonfree|TrueCrypt License 3.1}}[37];{{no}};
USBCrypt;WinAbility Software Corp.;2010;{{Proprietary}};{{yes}};
VeraCrypt;IDRIX;2013-06-22[38];{{free|Apache License 2.0}}[39] TrueCrypt License Version 3.0 (legacy code only);{{yes}};
CyberSafe Top Secret;CyberSoft;2013;{{Proprietary}};{{yes}};
Name;Developer;First released;Licensing;Maintained?;
