Description;Spanish;Portuguese;
Spelling;Pronunciation;Spelling;Pronunciation;
palatal "l";ll;{{IPA|?}} (~ {{IPA|?}})[66];lh;{{IPA|?}};
palatal "n";ñ;{{IPA|?}};nh;{{IPA|?}} (EP), {{IPA|j?}} (BP);
palatal "y";y;{{IPA|?}};i;{{IPA|j}};
