Database Name;ACID;Referential integrity;Transactions;Fine-grained locking;Multiversion concurrency control;Unicode;Interface;Type inference;
4th Dimension;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};GUI & SQL;{{Yes}};
ADABAS;{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};proprietary direct call & SQL (via 3rd party);{{Yes}};
Adaptive Server Enterprise;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
Advantage Database Server;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{dunno}};{{yes}}4;API & SQL;{{Yes}};
Altibase;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{dunno}};{{yes}};API & GUI & SQL;{{Yes}};
Apache Derby;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking) [41];{{dunno}};{{yes}};SQL;{{Yes}};
ClustrixDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};SQL;{{Yes}};
CUBRID;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{dunno}};{{yes}};GUI & SQL;{{Yes}};
DB2;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking)[42];{{dunno}};{{yes}};GUI & SQL;{{Yes}};
Empress Embedded Database;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};API & SQL;{{Yes}};
EXASolution;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};API & GUI & SQL;{{Yes}};
Firebird;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};API & SQL;{{Yes}};
HSQLDB;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};SQL;{{Yes}};
H2;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}}[43];{{yes}};SQL;{{Yes}};
Informix Dynamic Server;{{yes}};{{yes}};{{yes}};{{yes}} (Row-level locking);{{yes}};{{yes}};SQL, REST, and JSON;{{Yes}};
Ingres;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL & QUEL;{{Yes}};
InterBase;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
Linter SQL RDBMS;{{yes}};{{yes}};{{yes}} (Except for DDL);{{yes}} (Row-level locking);{{dunno}};{{yes}};API & GUI & SQL;{{Yes}};
LucidDB;{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
MariaDB;{{yes}}2;{{yes}}6;{{yes}}2 except for DDL[44][45];{{yes}} (Row-level locking);{{yes}};{{yes}};SQL;{{Yes}};
MaxDB;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};SQL;{{Yes}};
