Reader ;Plain text;PDF;ePub;HTML;Mobi- Pocket;Fiction- Book (fb2);DjVu;Broadband eBook (BBeB)[44];eReader[44];Kindle[44];WOLF[44];Tome Raider[44];Open eBook[45];Comic Book;OpenXPS;
Amazon Kindle 1;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Amazon Kindle 2, DX;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Amazon Kindle 3;{{yes}};{{yes}};{{no}}[46];{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Amazon Kindle Fire;{{yes}};{{yes}};{{yes}}[47];{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Android Devices;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[48][49];{{yes}};{{yes}}[48][50];{{no}};{{yes}}[48][51];{{yes}};{{no}};{{yes}}[48][31];{{yes}}[48];{{dunno}};{{yes}};
Apple iOS Devices;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[48];{{yes}}[48];{{yes}}[48];{{no}};{{yes}}[48];{{yes}}[48];{{no}};{{yes}}[48];{{yes}}[48];{{yes}}[52];{{dunno}};
Azbooka WISEreader;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Barnes & Noble Nook;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Barnes & Noble Nook Color;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Bookeen Cybook Gen3, Opus;{{yes}};{{yes}};{{yes}}[53];{{yes}};{{yes}}[53];{{yes}}[54];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};
COOL-ER Classic;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Linux Operating System;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[55];{{yes}};{{yes}}[56];{{partial|?}};{{partial|?}};{{partial|?}};{{partial|?}};{{partial|?}};{{yes}};{{yes}};
Foxit eSlick;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Hanlin e-Reader V3;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
Hanvon WISEreader;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
iRex iLiad;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Iriver Story;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}}[48];{{yes}}[48];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Kobo eReader;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
Nokia N900;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
NUUTbook 2;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
OLPC XO, Sugar;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Onyx Boox 60;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Mac OS X;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};
TrekStor eBook Reader Pyrus[57];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
