Model;Launch;Model Number;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;API compliance (version);Notes;
Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
Mobility Radeon 7000;Feb 2001;M6;RV100;180;AGP 4x;144 167;144 183;0:1:3:1;0.167;0.5;8 16 32;1.464 2.928;SDR DDR;32 64;6;1.3;;
Mobility Radeon 7500;Dec 2001;M7;RV200;150;AGP 4x;280;200;1:2:6:2;0.56;1.68;32 64;3.2 6.4;DDR;64 128;7;1.3;PowerPlay II, DX7 T&L;
Mobility Radeon 9000;Aug 2002;M9;RV250;150;AGP 4x;250;200;1:4:4:4;1.0;1.0;32 64;3.2 6.4;DDR;64 128;8.1;1.4;PowerPlay 3.0, Fullstream;
Mobility Radeon 9200;Mar 2003;M9+;RV280;150;AGP 8x;250/250;200/220;1:4:4:4;1.0;1.0;32 64;3.2/3.52 6.4/7.04;DDR;64 128;8.1;1.4;PowerPlay 3.0, Fullstream;
Mobility Radeon 9500;2004?;M11;RV360;130;AGP 8x;{{unk}};{{unk}};2:4:4:4;{{unk}};{{unk}};64;{{unk}};DDR;64 128;9.0;2.0;;
Mobility Radeon 9550;2005;M12;RV360;130;AGP 8x;210;183;2:4:4:4;0.84;0.84;64;2.928 5.856;DDR;64 128;9.0;2.0;;
Mobility Radeon 9600;Mar 2003;M10, M11;RV350;130;AGP 8x;300;300;2:4:4:4;1.2;1.2;64 128;4.8 9.6;DDR;64 128;9.0;2.0;;
Mobility Radeon 9600 Pro;2004;M10;RV350;130;AGP 8x;350;350;2:4:4:4;1.4;1.4;128;11.2;DDR;128;9.0;2.0;;
Mobility Radeon 9700;Feb 2004;M11;RV360;130;AGP 8x;450;275;2:4:4:4;1.8;1.8;128;8.8;DDR;128;9.0;2.0;;
Mobility Radeon 9800;Sep 2004;M18;R420;130;AGP 8x;350;300;4:8:8:8;2.8;2.8;256;19.2;DDR;256;9.0;2.0;;
