File Manager;Undo/redo file operation;File compression;File encryption;Rename busy files;File preview;File coloring filter [40];File selection filter;Paste clipboard as file;File and folder reports;ACL (Access control list);Mass Rename [41];Run executable files;
Altap Salamander;{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}}, multiple [42];{{dunno}};{{yes}};{{yes}} [43];{{yes}};{{yes}};
Commander One;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};
CRAX Commander;{{dunno}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};
Directory Opus;{{yes}};{{yes}};{{partial}};{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Dired;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{yes}};{{yes}};
Dolphin;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{partial}};{{yes}};
Double Commander;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
emelFM2;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{no}};{{dunno}};{{yes}};{{dunno}};{{dunno}};
FAR Manager;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}} [44];{{yes}};{{partial|Plugin}};{{partial|Plugin}};{{dunno}};
File Commander;{{dunno}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
File Manager;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};
Finder;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};
ForkLift;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
GNOME Commander;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};
Konqueror;{{partial}} [45];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Yes}};{{yes}}[46];{{Yes}};
Krusader;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}}[46];{{yes}};
Midnight Commander;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{partial}}[47];{{dunno}};{{dunno}};{{yes}};{{yes}};
GNOME Files (Nautilus);{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{partial}} [48];{{no}};{{yes}};{{no}};{{no}} [49];
Nemo;?;?;?;?;?;?;?;?;?;?;{{no}};{{yes}};
Nomad.NET;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{dunno}};
