Software;Web-based;Hosted On-Premises;SaaS;License;Programming language;
2-plan;{{Yes}}[1];{{Yes}};{{Yes}};Proprietary, Open source[2];Java and PHP;
24SevenOffice;{{yes}};{{no}};{{yes}};{{Proprietary}};;
Actionspace;{{yes}};{{no}};{{yes}};{{Proprietary}};;
AnyChart (AnyGantt);{{yes}};{{yes}};{{yes}};{{Proprietary}};JavaScript;
Apache Allura;{{yes}};{{yes}};;{{Free|Apache License}};Python;
Apache OFBiz;{{yes}};{{yes}};{{yes}};{{Free|Apache License}};Java, XML, FreeMarker, Groovy, JavaScript;
Apache Bloodhound;{{yes}};{{yes}};{{yes}};{{Free|Apache License}};Python;
Asana;{{yes}};{{no}};{{yes}};{{Proprietary}};;
Assembla;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Axosoft;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Basecamp;{{yes}}[3];{{no}}[4];{{yes}};{{Proprietary}};Ruby;
CEITON;{{yes}};{{yes}};{{yes}};{{Proprietary}};ASP.NET, JavaScript;
Clarizen;{{yes}}[5];{{no}};{{yes}}[5];{{Proprietary}};;
Collabtive;{{yes}};{{yes}};{{yes}};Open source (core only);PHP;
Compuware Changepoint;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
ConceptDraw Project;{{no}};{{yes}};{{no}};{{Proprietary}};;
ConceptDraw PLAN;{{yes}};{{no}};{{yes}};{{Proprietary}};PHP and Java;
Concerto Project Management;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
Calligra Plan;{{no}};{{unk}};{{unk}};{{Free|GPL}};C++ and Java;
Copper Project;{{yes}};{{yes}};{{yes}};{{Proprietary}};;
dotProject;{{yes}};{{yes}};{{yes}};{{Free|GPL}};PHP;
DynaRoad;{{no}};{{unk}};{{unk}};{{Proprietary}};;
Easy projects;{{yes}}[6];{{yes}}[6];{{yes}}[6];{{Proprietary}};ASP.NET;
Eclipse PPM software;{{yes}};{{no}};{{yes}};{{Proprietary}};;
Endeavour Software Project Management;{{yes}};{{unk}};{{unk}};{{Free|GPL}};Java;
eGroupWare;{{yes}};{{unk}};{{unk}};{{Free|GPL}};PHP;
enQuire;{{yes}};{{unk}};{{yes}};{{Proprietary}};Java;
FastTrack Schedule;{{no}};{{Yes}};{{No}};{{Proprietary}};;
Feng Office Community Edition;{{yes}};{{yes}};{{yes}};{{Free|AGPLv3}};PHP;
