Implementation;SSL 2.0 (insecure)[16];SSL 3.0 (insecure)[17];TLS 1.0[18];TLS 1.1[19];TLS 1.2[20];TLS 1.3;DTLS 1.0[21];DTLS 1.2[14];
BearSSL;{{yes|No}};{{yes|No}};{{yes}};{{yes}};{{yes}};;{{no}};{{no}};
Botan;{{yes|No}};{{yes|No}}[22];{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};
BoringSSL;;;{{yes}};{{yes}};{{yes}};{{Partial|Yes}} (draft version);{{yes}};{{yes}};
Bouncy Castle;{{Yes|No}};{{Yes|No}};{{yes}};{{yes}};{{yes}};{{Partial|Yes}} (draft version);{{yes}};{{yes}};
CryptoComply;{{yes|No}};{{yes|Disabled by default}};{{yes}};{{yes}};{{yes}};{{Partial|Yes}} (draft version);{{yes}};{{yes}};
cryptlib;{{yes|No}};{{yes|Disabled by default at compile time}};{{yes}};{{yes}};{{yes}};;{{no}};{{no}};
GnuTLS;{{yes|No}}{{cref2|group=protocolsupport|a}};{{yes|Disabled by default}}[23];{{yes}};{{yes}};{{yes}};{{yes|Yes}}[24];{{yes}};{{yes}};
JSSE;{{yes|No}}{{cref2|group=protocolsupport|a}};{{Yes|Disabled by default}}[25];{{yes}};{{yes}};{{yes}};{{yes|Yes (JDK 11+)}}[26];{{yes}};{{yes}};
LibreSSL;{{yes|No}}[27];{{yes|No}}[28];{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};
MatrixSSL;{{yes|No}};{{yes|Disabled by default at compile time}}[29];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
mbed TLS;{{yes|No}};{{yes|Disabled by default}}[30];{{yes}};{{yes}};{{yes}};;{{yes}}[30];{{yes}}[30];
NSS;{{yes|No}}{{cref2|group=protocolsupport|b}};{{yes|Disabled by default}}[31];{{yes}};{{yes}}[32];{{yes}}[33];{{yes}}[34];{{yes}}[32];{{yes}}[35];
OpenSSL;{{Yes|No}}[36];{{yes|Disabled by default}};{{yes}};{{yes}}[37];{{yes}}[37];{{yes}};{{yes}};{{yes}}[38];
RomSTL;{{yes|No}};{{yes|No}};{{yes}};{{yes}};{{yes}};{{okay | Not yet}};{{yes}};{{yes}};
RSA BSAFE[39];{{yes|No}};{{yes|Disabled by default}};{{yes}};{{yes}};{{yes}};{{okay | Not yet}};{{no}};{{no}};
rustls;{{yes|No}};{{yes|No}};{{no}};{{no}};{{yes}};{{Partial|Yes}} (draft version);{{no}};{{no}};
S2n[40];{{yes|No}};{{yes|Disabled by default}};{{yes}};{{yes}};{{yes}};;{{no}};{{no}};
SChannel XP, 2003[41];{{partial|Disabled by default in MSIE 7}};{{No|Enabled by default}};{{partial|Enabled by default in MSIE 7}};{{no}};{{no}};;{{no}};{{no}};
SChannel Vista[42];{{yes|Disabled by default}};{{No|Enabled by default}};{{yes}};{{no}};{{no}};;{{no}};{{no}};
SChannel 2008[42];{{yes|Disabled by default}};{{No|Enabled by default}};{{yes}};{{Partial|Disabled by default (KB4019276)}};{{Partial|Disabled by default (KB4019276)}};;{{no}};{{no}};
SChannel 7, 2008R2[43];{{Yes|Disabled by default}};{{partial|Disabled by default in MSIE 11}};{{yes}};{{partial|Enabled by default in MSIE 11}};{{partial|Enabled by default in MSIE 11}};;{{yes}}[44];{{no}}[44];
SChannel 8, 2012[43];{{Yes|Disabled by default}};{{No|Enabled by default}};{{yes}};{{partial|Disabled by default}};{{partial|Disabled by default}};;{{yes}};{{no}};
SChannel 8.1, 2012R2, 10 v1507 & v1511[43];{{Yes|Disabled by default}};{{partial|Disabled by default in MSIE 11}};{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};
SChannel 10 v1607 / 2016[45];{{Yes|No}};{{Yes|Disabled by default}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};
Secure Transport OS X 10.2-10.7, iOS 1-4;{{No|Yes}};{{No|Yes}};{{yes}};{{no}};{{no}};;{{no}};{{no}};
Secure Transport OS X 10.8-10.10, iOS 5-8;{{Yes|No}}{{cref2|group=protocolsupport|c}};{{No|Yes}};{{yes}};{{yes}}{{cref2|group=protocolsupport|c}};{{yes}}{{cref2|group=protocolsupport|c}};;{{yes}}{{cref2|group=protocolsupport|c}};{{no}};
Secure Transport OS X 10.11, iOS 9;{{Yes|No}};{{Yes|No}}{{cref2|group=protocolsupport|c}};{{yes}};{{yes}};{{yes}};;{{yes}};{{Unknown}};
Secure Transport OS X 10.13, iOS 11;{{Yes|No}};{{Yes|No}}{{cref2|group=protocolsupport|c}};{{yes}};{{yes}};{{yes}};{{Partial|Yes}} (draft version)[46];{{yes}};{{Unknown}};
wolfSSL;{{yes|No}};{{yes|Disabled by default}}[47];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Erlang/OTP SSL application;{{yes|No}};{{yes|Disabled by default}};{{yes}};{{yes}};{{yes}};{{okay | Not yet}};{{yes}};{{yes}};
Implementation;SSL 2.0 (insecure)[16];SSL 3.0 (insecure)[17];TLS 1.0[18];TLS 1.1[19];TLS 1.2[20];TLS 1.3;DTLS 1.0[21];DTLS 1.2[14];
