;singular;plural;indef.;
1st;2nd;3rd;1st;2nd;3rd;
familiar;formal;m.;f.;n.;pan-gender;m.;f.;n.;pan-gender;Reflexive;
English;I;you (thou);you;he;she;it;he/it;we;you; ; ; ;they;;one;
Ido;me;tu;vu;il(u);el(u);ol(u);lu;ni;vi;ili;eli;oli;li;su;on(u);
Novial;me;vu;vu;lo;la;lu(m);le;nus;vus;los;las;lus;les;se;on;
