Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tool(s);Package format;Default installer;Graphical installation process;Netinstall;Netboot;
Slackware;{{Partial|Free, and nonfree}};{{nts|2292}};{{dunno}};installpkg, upgradepkg;tgz, .txz, .tlz, .tbz;;{{no}};{{yes}};{{yes}};
Slax;{{Partial|Free, and nonfree}};{{nts|2050}};{{dunno}};none;.lzm;;;{{dunno}};{{dunno}};
SliTaz GNU/Linux;{{Partial|Free, and nonfree}};{{nts|3381}}[147];{{dunno}};Tazpkg;.tazpkg;tazinst;{{yes}};{{yes|iPXE}};{{yes|iPXE}};
Solus;{{Partial|Free, and nonfree}};{{nts|9500}};{{dunno}};eopkg;.eopkg;os-installer;{{yes}};{{no}};{{no}};
Source Mage GNU/Linux;{{Partial|Free, and nonfree}};{{nts|118}};{{nts|8876}};Sorcery Package Manager;src;;{{yes}};{{dunno}};{{dunno}};
SUSE Linux;{{Partial|Free, and nonfree}};{{nts|24094}};{{nts|11385}};YaST, Zypper;RPM;YaST;{{yes}};{{dunno}};{{dunno}};
Tiny Core Linux;{{Partial|Free, and nonfree}};{{nts|25160}};{{dunno}};ab, tce-load;tcz;tc-install, core2usb;{{yes}};{{dunno}};{{dunno}};
Tiny SliTaz;{{Partial|Free, and nonfree}};{{nts|50}};{{dunno}};Web site[148];tazpkg;;{{no}};{{dunno}};{{yes|iPXE}};
Tor-ramdisk;{{Partial|Free, and nonfree}};{{dunno}};{{dunno}};none;none;;{{no}};{{dunno}};{{dunno}};
Trisquel;{{Free|Free only}};{{nts|52748}}[149];{{dunno}};APT;.deb;Ubiquity;{{yes}};{{yes}};{{dunno}};
TurnKey GNU/Linux;{{Partial|Free, and nonfree}};{{nts|57290}}[132] plus ?30 custom packages;{{nts|21041}}{{Efn|From the Sources.gz files in the main, contrib and non-free sections of Debian Jessie. On the 2015-11-21, Debian Sid, the development release, have 24757 source packages.}} (currently TurnKey only supplies source code for custom packages);APT;.deb;DI-Live (custom fork of Debian Installer);{{no}};{{no}};{{no}};
Ubuntu, Kubuntu, Xubuntu;{{Partial|Free, and nonfree}};{{nts|73229}}[150];{{nts|24474}}{{Efn|From the Sources.gz files in the main,universe, multiverse and restricted sections of Ubuntu Wily.}};APT;.deb;Ubiquity;{{yes}};{{yes}};{{yes|PXE}};
Ututo;{{Free|Free only}};{{nts|5000}};{{dunno}};UTUTO Package Manager;ebuild;{{dunno}};{{dunno}};{{no}};{{no}};
Vector Linux;{{Partial|Free, and nonfree}};{{dunno}};{{dunno}};slapt-get, gslapt, installpkg;tgz;;{{yes}};{{dunno}};{{dunno}};
Void Linux;{{Partial|Free, nonfree and multilib}};{{nts|6000}};{{nts|6719}};xbps;.xbps;ncurses script;{{yes}};{{yes}};{{no}};
XBMC Live;{{Partial|Free, and nonfree}};{{dunno}};{{dunno}};APT;.deb;;{{no}};{{dunno}};{{dunno}};
Zentyal;{{Partial|Free, and nonfree}};{{dunno}};{{dunno}};APT;.deb;dpkg;{{yes}};{{dunno}};{{dunno}};
Zenwalk;{{Partial|Free, and nonfree}};{{nts|2000}};{{dunno}};netpkg, installpkg, upgradepkg;tgz, txz;;{{yes}};{{dunno}};{{dunno}};
Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tools;Package format;Default installer;Graphical installation process;Netinstall;Netboot;
