Client;feed URI scheme;RSS 0.91;RSS 1.0;RSS 2.0;RSS enclosure;MRSS;Atom;other format;Delta updates;IPv6;Auto updates;
Akregator;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
Amarok;{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{dunno}};{{yes}};
AOL Explorer;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Avant;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Awasu;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};any XML format (via XSL);{{dunno}};{{yes}};{{yes}};
BlogBridge;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Canto;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
Claws Mail;{{dunno}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
CommaFeed;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0}}[12];{{no}};{{yes}};{{yes}};
Cooliris;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};
Feed Viewer;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|CDF, RDF}};{{no}};{{yes}};{{yes}};
FeedDemon;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};
Feedreader;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
Flock;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};
Gnus;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes|Newsgroups}};{{dunno}};{{yes}};{{no}};
IBM Lotus Notes;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Internet Explorer;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes|Web Slice}};{{yes}};{{yes}};{{yes}};
iTunes;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{dunno}};{{yes}};
Juice;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};
K-Meleon;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Kazehakase;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes|LIRS, HINA-DI}};{{dunno}};{{yes}};{{dunno}};
Liferea;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}}[13];{{yes}};
Mail (OS X);{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
Maxthon;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};
MediaMonkey;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft Office Outlook;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Miro;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mozilla Firefox;{{dunno}};{{no|Add-on}};{{no|Add-on}};{{no|Add-on}};{{dunno}};{{no|Add-on}};{{no|Add-on}};{{dunno}};{{no}};{{no|Add-on}};{{no|Add-on}};
Mozilla Thunderbird;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes|Newsgroup}};{{no}};{{yes}};{{yes}};
NetNewsWire;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};
Netscape Browser;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
Netscape Navigator 9;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};
NewsAccess;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};
NewsBlur;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0}};{{yes}};{{yes}};{{yes}};
NewsFire;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OmniWeb;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Opera Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|RDF, Newsgroup}};{{dunno}};{{yes}};{{yes}};
Pegasus Mail;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
