JVM;Windows;Linux;FreeBSD;NetBSD;OpenBSD;Solaris;OpenSolaris;Darwin;Mac OS X;iOS;BeOS;Haiku;AIX;IRIX;OS/2;Windows Mobile;AmigaOS;Other;
CACAO;{{partial|Using Cygwin}}[48];{{Yes}}[48];{{Yes}}[48];{{Yes}}[48];{{No}}[48];{{Yes}}[48];{{Yes}}[48];{{Yes}}[48];{{dunno}}[48];{{No}}[48];{{No}}[48];{{No}}[48];{{No}}[48];{{Yes}}[48];{{No}}[48];{{No}}[48];{{No}}[48];kFreeBSD, ucLinux[48];
GCJ;{{Yes}}[37];{{Yes}}[37];{{Yes}}[37];{{dunno}};{{dunno}};{{Yes}}[37];{{dunno}};{{Yes}}[37];{{Yes}}[37];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}}[37];{{dunno}};{{No}}[37];{{No}}[37];DEC OSF 4.0f and 5.1, Hitachi SH-3/4 micro-controller[37];
HotSpot, OpenJDK edition;{{Yes}}[49] (distributed as source code);{{Yes}};{{partial|Port}}[50];{{partial|Port}}[50];{{partial|Port}}[50];{{Yes}};{{Yes}}[51];{{dunno}};{{Yes}}[52];{{No}};{{No}};{{partial|Port}}[53];{{partial|Port}}[41];{{no}};{{partial|Port}}[54];{{No}};{{No}};;
HotSpot, Oracle JDK edition;{{Yes}}[38];{{Yes}}[38];{{No}};{{No}};{{No}};{{Yes}}[38];{{dunno}};{{dunno}};{{Yes}}[38];{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};;
HotSpot, Java SE embedded edition;{{Yes}}[5];{{Yes}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{Yes}}[5];{{dunno}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];{{No}}[5];;
HotSpot, Zero port;{{No}}[43][55];{{Yes}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];{{No}}[43][55];;
IKVM.NET;Any operating system with a .NET framework;
JAmiga;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};;
JamVM;{{No}}[23];{{Yes}}[23];{{Yes}}[23];{{No}}[23];{{Yes}}[23];{{Yes}}[23];{{Yes}}[23];{{Yes}}[23];{{Yes}}[23];{{partial|On Jailbroken iPhone}}[23];{{No}}[23];{{No}}[23];{{No}}[23];{{No}}[23];{{No}}[23];{{No}}[23];{{No}}[23];kFreeBSD;
Jato VM;{{No}}[44];{{Yes}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{partial|Under development}}[44];{{dunno}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];{{No}}[44];;
JC virtual machine;{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};;
Jikes RVM;{{No}}[45];{{Yes}}[45];{{No}}[45];{{No}}[45];{{No}}[45];{{No}}[45];{{No}}[45];{{No}}[45];{{Yes}}[45];{{No}}[45];{{No}}[45];{{No}}[45];{{Yes}}[45];{{No}}[45];{{No}}[45];{{No}}[45];{{No}}[45];;
Kaffe;{{partial|Using Cygwin}}[13];{{Yes}}[13];{{Yes}}[13];{{Yes}}[13];{{Yes}}[13];{{Yes}}[13];{{dunno}};{{Yes}}[13];{{Yes}}[13];{{No}}[13];{{Yes}}[13];{{No}}[13];{{Yes}}[13];{{Yes}}[13];{{No}}[13];{{No}}[13];{{Yes}};HPUX 11.x, BSDI 2.x, Unixware, SCO 3.2v5, NeXTStep 3.x, DG/UX, OpenStep 4.x, QNX 4.x, NCR MP-RAS 3.x, OSKit 0.96 +, GNU Hurd, Cygwin, DragonFly BSD, Interix, Ultrix 4.2, PS2Linux, AUX, MachTen 4.0.3, Fujitsu UXP/DS[13];
Mysaifu JVM;{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{No}}[46];{{Yes}}[46];{{No}}[46];;
SableVM;{{partial|Using Cygwin}}[47];{{Yes}}[47];{{Yes}}[47];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}}[47];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;
