Kernel name;Used in;Creator;Executable format (also see section below);Type;Integrated firewall;SMP support;Multiple architecture support (also see section below).;Multitasking;Virtualization;Security;Profiling/Debugging;Soft real-time support;Hard real-time support;Can keep RTC in UT[2];
Agnix [1];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Amiga Exec;AmigaOS;Commodore International;HUNK;Exokernel (atypical)[3];{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Amiga Exec SG (2nd Generation);AmigaOS 4;Hyperion Entertainment;ELF/HUNK;Exokernel (atypical);{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};
DragonFly BSD kernel;DragonFly BSD;Matt Dillon;ELF;hybrid;{{yes|Ipfirewall, PF}};{{yes}};{{no}};{{yes}};{{yes|chroot, jail, vkernel}};{{yes|Unix permissions}};{{yes|DDB, KGDB}};{{dunno}};{{dunno}};{{dunno}};
FreeBSD kernel;FreeBSD, Debian GNU/kFreeBSD, Gentoo/FreeBSD, Orbis OS;The FreeBSD Project;ELF, others - platform dependent;monolithic;{{yes|IPFilter, Ipfirewall, PF}};{{yes}};{{yes}};{{yes}};{{yes|chroot, jail, bhyve}};{{yes|Unix permissions, POSIX.1e and NFSv4 ACLs,[4] Capsicum, TrustedBSD MAC, OpenBSM}};{{yes|KDB, DDB, KGDB, DTrace, hwpmc}};{{yes}};{{dunno}};{{yes}};
GNU Hurd [2];GNU/Hurd (Arch Hurd, Debian GNU/Hurd, NixOS[5]);GNU Project/Free Software Foundation;ELF;{{URL|https://www.gnu.org/software/hurd/faq/multiserver_microkernel.html|multiserver microkernel}};{{no}};{{URL|https://www.gnu.org/software/hurd/faq/smp.html|partial}};{{no}};{{yes}};{{yes|chroot, Xen}};{{yes|Unix permissions, POSIX ACL, POSIX Capabilities}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
GNU Mach [3];part of GNU Hurd, used in GNU/Hurd;GNU Project/Free Software Foundation;ELF;microkernel;{{no}};{{URL|https://www.gnu.org/software/hurd/faq/smp.html|partial}};{{no}};{{yes}};{{yes|chroot, Xen}};{{yes|Unix permissions, POSIX ACL, POSIX Capabilities}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Inferno kernel;Inferno;Bell Labs / Vita Nuova Holdings;{{dunno}};virtual machine;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes|chroot, Xen}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
L4;L4;Jochen Liedtke;{{no}};microkernel;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Afterburner/L4 [4], Marzipan [5], capabilities in L4/Fiasco[6]}};{{yes| L4/Fiasco[6]}};{{yes| L4/Fiasco[6]}};{{dunno}};{{dunno}};
