Grapheme;Danish;Norwegian;
;In stressed onset;Elsewhere (single);Elsewhere (double);In stressed onset;Elsewhere;
b;{{IPA|[b?]}};{{IPA|[b?, ??]}};{{IPA|[b?]}};{{IPA|[b]}};{{IPA|[b]}};
d;{{IPA|[d?]}};{{IPA|[ð?]}};{{IPA|[ð?]}};{{IPA|[d]}};{{IPA|[d]}};
g;{{IPA|[??]}};{{IPA|[-, ??, ??]}};{{IPA|[??]}};{{IPA|[?]}};{{IPA|[?]}};
k;{{IPA|[k?]}};{{IPA|[??]}};{{IPA|[??]}};{{IPA|[k?]}};{{IPA|[k]}};
p;{{IPA|[p?]}};{{IPA|[b?]}};{{IPA|[b?]}};{{IPA|[p?]}};{{IPA|[p]}};
r;{{IPA|[?]}};{{IPA|[??, -]}};;{{IPA|[r]}};{{IPA|[r]}};
t;{{IPA|[t?]}};{{IPA|[d?]}};{{IPA|[d?]}};{{IPA|[t?]}};{{IPA|[t]}};
v;{{IPA|[?]}};{{IPA|[??]}};{{IPA|[??]}};{{IPA|[?]}};{{IPA|[?]}};
