Name;Author;First public release;Stable version;Cost;Software license;Based framework;Written in;
AIMP;AIMP DevTeam;{{dts|2006-08-08}};{{Latest stable software release/AIMP}};{{free}};{{proprietary}};BASS audio library (decoder);Delphi;
Amarok;Mark Kretschmann;{{dts|2003-06-01}};{{Latest stable software release/Amarok}};{{free}};{{free|GPLv2}};via Phonon: GStreamer, xine, MPlayer, VLC, DirectShow, QuickTime;C++;
Aqualung;Tom Szilagyi et al.;{{dts|2006-01-01}};0.9beta11 {{Start date and age|2013|01|30}};{{free}};{{free|GPLv2 or later}};;C;
aTunes;Alex Aranda et al.;{{dts|2006-01-01}};{{Latest stable software release/aTunes}};{{free}};{{free|GPLv2}};;Java;
Audacious;Audacious Development Team;{{dts|2005-10-30}};{{Latest stable software release/Audacious}};{{free}};{{free|BSD}};XMMS based;C, C++ (GTK+);
Banshee;Aaron Bockover;{{dts|2005-02-17}};{{Latest stable software release/Banshee}};{{free}};{{free|MIT}};GStreamer;C#;
Clementine;Clementine Team;{{dts|2011-03-01}};{{Latest stable software release/Clementine}};{{free}};{{free|GPL}};GStreamer;C++ (Qt);
cmus;Timo Hirvonen;{{dts|2005-01-18}};{{Latest stable software release/cmus}};{{free}};{{free|GPL}};;C;
Cog;Vincent Spader;{{dts|2006-05-01}};{{Latest stable software release/Cog}};{{free}};{{free|GPL}};;Objective-C;
Exaile;Adam Olsen;{{dts|2006-05-24}};{{Latest stable software release/Exaile}};{{free}};{{free|GPLv2 or later}};GStreamer;Python (GTK+);
Ecoute;Louka Desroziers & Julien Sagot;{{dts|2008-09}};3.0.8;{{free}} (until version 4);{{proprietary}};AV Foundation & QuickTime;Objective-C;
Flash MP3 Player;Reality Software;{{dts|2008-03-11}};1.00;{{free}};{{proprietary}};;;
foobar2000;Peter Pawlowski;{{dts|2002-11-29}};{{Latest stable software release/foobar2000}};{{free}};{{proprietary}} (core), BSD (SDK);;C++;
GMusicBrowser;Quentin Sculo;{{dts|2011-08-08}};1.1.15 (released on {{dts|2015-08-20}});{{free}};{{free|GPL}};GStreamer/MPlayer/mpg123/mpv;GTK2 Perl;
Guayadeque Music Player;;{{dts|2003-02-01}};{{Latest stable software release/JuK}};{{free}};{{free|GPL}};GStreamer;C++ (wxWidgets, wxSqlite);
iTunes;Apple Inc.;{{dts|2001-01-09}};{{Latest stable software release/iTunes}};{{free}};{{proprietary}};QuickTime;{{dunno}};
JRiver Media Center;JRiver, Inc.;{{dts|1999-02-01}};{{Latest stable software release/JRiver Media Center}};{{nonfree}};{{proprietary}};JRiver code;C++;
JuK;Scott Wheeler;{{dts|2003-02-01}};{{Latest stable software release/JuK}};{{free}};{{free|GPL}};;C++;
MediaMonkey Standard;Ventis Media Inc.;{{dts|2003-08-25}};{{Latest stable software release/MediaMonkey}};{{free}};{{proprietary}};;Delphi, C;
MediaMonkey Gold;Ventis Media Inc.;{{dts|2003-08-25}};{{Latest stable software release/MediaMonkey}};{{nonfree}};{{proprietary}};;Delphi, C;
MediaMonkey Lifetime;Ventis Media Inc.;{{dts|2003-08-25}};{{Latest stable software release/MediaMonkey}};{{nonfree}};{{proprietary}};;;
Groove Music;Microsoft;{{dts|2012}};;{{free}};{{proprietary}};;;
MPXPLAY;MPXPLAY;{{dts|1998-01-01}};{{Latest stable software release/Mpxplay}};{{free}};{{free|GPL}};;C;
