;R-/R+ tree;Hash;Expression;Partial;Reverse;Bitmap;GiST;GIN;Full-text;Spatial;FOT;Duplicate index prevention;
4th Dimension;{{dunno}};Cluster;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};
ADABAS;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Adaptive Server Enterprise;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};
Advantage Database Server;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};
Apache Derby;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}}[68];{{dunno}};{{dunno}};{{no}};
ClustrixDB;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};
CUBRID;{{no}};{{no}};{{yes}}[69];{{yes}}[69];{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
DB2;{{Yes}};{{Yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}}[70];{{dunno}};{{dunno}};{{no}};
Empress Embedded Database;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
EXASolution;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
Firebird;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}}[71];{{dunno}};{{dunno}};{{no}};
HSQLDB;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
H2;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}}[72];{{yes}}[73];{{dunno}};{{no}};
Informix Dynamic Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[74];{{no}};
Ingres;{{yes}};{{yes}};{{yes|Ingres v10}};{{no}};{{no}};{{yes|Ingres v10}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
InterBase;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
Linter SQL RDBMS10;{{no}};{{yes}} temporary indexes for equality joins;{{yes}} for some scalar functions like LOWER and UPPER;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}}[75];{{yes}}[76];{{no}};{{no}};
LucidDB;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
MariaDB;Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[77];MEMORY,[78] InnoDB,5 tables only;PERSISTENT virtual columns only[79];{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}}[80];Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[77];{{dunno}};{{no}};
MaxDB;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
Microsoft Access (JET);{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}}[81];{{dunno}};{{dunno}};{{no}};
Microsoft Visual Foxpro;{{no}};{{no}};{{yes}};{{yes}};{{yes}}2;{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};
Microsoft SQL Server;Spatial Indexes;{{yes}}4;{{yes}}3;{{yes}};on Computed columns3;Bitmap filter index for Star Join Query;{{no}};{{no}};{{yes}}[82];{{yes}}[83];{{dunno}};{{no}};
Microsoft SQL Server Compact (Embedded Database);{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}}[84];{{dunno}};{{dunno}};{{no}};
Mimer SQL;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};
MonetDB;{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
MySQL;Spatial Indexes[85];MEMORY, Cluster (NDB), InnoDB,5 tables only;{{no}}[86];{{no}};{{no}};{{no}};{{no}};{{no}};MyISAM tables[87] and, since v5.6.4, InnoDB tables[88];MyISAM tables[89] and, since v5.7.5, InnoDB tables[90];{{dunno}};{{no}};
OpenLink Virtuoso;{{yes}};Cluster;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}} (Commercial only);{{no}};{{no}};
Oracle;{{yes}} 11;Cluster Tables;{{yes}};{{yes}} 6;{{yes}};{{yes}};{{no}};{{no}};{{yes}}[91];{{yes}}[92];{{dunno}};{{yes}}[93];
Oracle Rdb;{{No}};{{Yes}};{{dunno}};{{No}};{{No}};{{dunno}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Pervasive PSQL;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
