IDE;License;Developer;Latest stable release;Windows;Linux;macOS;Other platforms;
Microsoft Visual Studio;{{proprietary}} Community Edition: Freeware;Microsoft;{{sort|2017-10-19|15.4.1  / October 19, 2017}};{{Yes}};{{No}};{{No}};;
MonoDevelop;{{yes|LGPL}};Xamarin and the Mono community;{{sort|2016-11-11| 6.1.2.44 / November 11, 2016}};{{Yes}};{{Yes}};{{Yes}};FreeBSD, OpenBSD, Solaris;
SharpDevelop;{{yes|LGPL}};IC#Code Team;{{sort|2016-04-14| 5.1 / April 14, 2016}};{{yes}};{{No}};{{no}};;
SlickEdit;{{Proprietary}};SlickEdit;October 2016;{{Yes}};{{Yes}};{{Yes}};Solaris, Solaris SPARC, AIX, HP-UX;
Understand;{{Proprietary}};SciTools;{{sort|2015-12-04| 814 / December 4, 2015}};{{yes}};{{yes}};{{yes}};Solaris;
Visual Studio Code;{{yes|source code(MIT License) - binary(Proprietary)}};Microsoft;{{sort|2017-09| 1.17.1 / September, 2017}};{{yes}};{{yes}};{{yes}};;
Xamarin Studio;{{yes|source code(MIT License) - binary(Proprietary)}};Microsoft;December 2016;{{yes}};{{yes}};{{yes}};;
Eclipse;{{yes|EPL}};Eclipse Foundation;{{sort|2017-06-28|4.7  / June 28, 2017}};{{Yes}};{{Yes}};{{Yes}};;
Rider;{{proprietary}};JetBrains;{{sort|2017-10-12|2017.2  / October 12, 2017}};{{Yes}};{{Yes}};{{Yes}};;
