Client;Message templates;Message templates individual for;Support in message templates scripts, programming languages;
new;reply;forward;read confirmation;save;print;JavaScript;VBScript;PHP Scripts;Python;Regular expressions;Java;Other (specify);
Alpine;{{Yes}};{{Yes}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};any;{{No}};{{No}};{{No}};{{No}};{{dunno}};{{No}};{{dunno}};
Becky! Internet Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};any account folder;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Citadel;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Claws Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};account folder;{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes|Perl}};
Cone;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Courier;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Elm;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
eM Client;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};account;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Eudora;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};any;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Eureka Email;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Evolution;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Gnus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|elisp}};
GroupWise;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Hiri;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};any;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
i.Scribe / InScribe;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};any;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Internal macros (similar to JavaScript)}};
IBM Notes;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}};{{no}};{{yes}} [10];{{yes}};{{yes|LotusScript, Formula language}};
KMail;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};none;{{dunno}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Mailpile;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft Entourage;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes|AppleScript, Automator}};
Microsoft Office Outlook;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mozilla Mail & Newsgroups;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mozilla Thunderbird;{{yes}};{{yes}}{{r|group=Note|TB_STATIONERY_EXT}};{{yes}}{{r|group=Note|TB_STATIONERY_EXT}};{{yes}};{{yes}};{{yes}};profile;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mulberry;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Mutt;{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};any;{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{yes|Internal macros}};
Netscape Messenger;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Netscape Messenger 9;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
nmh / MH;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Opera Mail;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{n/a}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Outlook Express;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pegasus Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pine;{{Yes}};{{Yes}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};any;{{dunno}};{{No}};{{No}};{{dunno}};{{dunno}};{{No}};{{dunno}};
Pocomail;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|PocoScript}};
RoundCube;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
SeaMonkey Mail & Newsgroups;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SquirrelMail;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Sylpheed;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
The Bat!;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};account folder address book group contact;{{yes}} {{r|group=Note|BAT_js}};{{yes}} {{r|group=Note|BAT_XMP}};{{yes}} {{r|group=Note|BAT_XMP2}};{{yes}} {{r|group=Note|BAT_TBPyxie}};{{yes}};{{yes|PCRE 6.2}};{{yes|Internal and plugins macros}};
Turnpike;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows Live Mail;{{yes}}{{r|group=Note|STATIONERY}};{{yes}}{{r|group=Note|STATIONERY}};{{dunno}};{{yes}}{{r|group=Note|STATIONERY}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
