;Trident;Tasman;Gecko;WebKit;KHTML;Presto;iCab;
abbr;{{Yes}}{{Citation needed|date=May 2011}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
acronym;{{IE|4.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
address;rowspan="2" {{IE|1.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
blockquote;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
br;{{IE|1.0}}[5];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
cite;rowspan="3" {{IE|1.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
code;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
dfn;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
div;{{IE|3.0}}[6];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
em;rowspan="8" {{IE|1.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
h1;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
h2;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
h3;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
h4;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
h5;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
h6;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
kbd;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
p;{{IE|1.0}}[5];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
pre;{{IE|1.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
q;{{IE|4.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
samp;{{IE|1.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
span;{{IE|3.0}}[6];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
strong;rowspan="2" {{IE|1.0}}[4];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
var;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
