Name;Manufacturer;Release;Size;Type;Capacity (GB)[1];Storage;External;Dimensions (mm × mm);Depth (mm);Weight (g);Firmware;
Archos 105;Archos;2007-08-31[2];;DAP;0002 2;Flash;SDHC[3];85 × 45;7;50[4];1.6.07[5];
Archos 405;Archos;2007-09-01[6];Mini;PMP;0002 2;Flash;SDHC[3];99.6 × 78;13.2;119.07;1.8.03[7][8];
Archos 405;Archos;2008-02-07[9];Mini;PMP;0030 30;HDD;;100 × 78;15;191;1.8.03[7][8];
Archos 5;Archos;2008-08-19;Mid;PMP;0500 120/500;HDD;8–32 GB and Micro SD Slot (SDHC compatible);127 × 78.8;19.4;300;1.6.53[10];
Archos 605 WiFi/GPS;Archos;2007-09-01[11];Mid;PMP;0004 4;Flash;SDHC[3];{{convert|4.8|×|3.2|in|mm|disp=output number only}};{{convert|0.6|in|mm|disp=output number only}};{{convert|5.29|oz|g|disp=output number only}};1.8.03[12][13];
Archos 605 WiFi/GPS;Archos;2007-09-01[11];Mid;PMP;0160 30/80/160;HDD;;{{convert|4.8|×|3.2|in|mm|abbr=on|disp=output number only}};{{convert|0.6|in|mm|disp=output number only}};{{convert|6.7|oz|g|disp=output number only}};1.8.03[12][13];
Archos 705 WiFi;Archos;2007-11-27[14];Mega;PMP;0160 80/160;HDD;;182 × 128;19.69;630;1.8.03[15];
Cowon A3;Cowon;2007-11-14[16];Mid;PMP;0080 30/60/80;HDD;;133.4 × 78.5;22;280;1.24[17];
Cowon D2;Cowon;2006-12-05[18];Micro;PMP;0016 2/4/8/16;Flash;SDHC[3];78.0 × 55.4;16.6;91.0;2.57[19];
Cowon Q5W;Cowon;2007-11-30[20];Mid;PMP;0080 40/60/80;HDD;;138.8 × 88.5;20;380;1.5[21];
Cowon O2PMP;Cowon;;Mid;PMP;0032 8/16/32;Flash;;{{convert|4.70|×|2.89|in|mm|disp=output number only|abbr=on}};{{convert|0.70|in|mm|disp=output number only}};{{convert|7.23|oz|g|disp=output number only}};;
Gigabeat T-Series;Toshiba;2007-09-25[22];Micro;PMP fack;0004 4;Flash;;2.13 × 3.38;{{convert|0.58|in|mm|disp=output number only}};58.11;No release;
GP2X F-200;GamePark Holdings;2007-10-28[23];Mid;PMP, HGC;0064 64;;SDHC[3];{{convert|5.65|×|3.26|in|mm|abbr=on|disp=output number only}};{{convert|1.34|in|mm|disp=output number only}};{{convert|5.68|oz|g|disp=output number only}};4.0.0[24];
iPod;Apple;2001[25];;;;;;;;;;
iPod classic 6G;Apple;2007-09-07[26];Mini;DAP;0160 160;HDD;;{{convert|4.1|×|2.4|in|mm|abbr=on|disp=output number only}};{{convert|0.41|in|mm|disp=output number only}};{{convert|4.9|oz|g|disp=output number only}};1.1.2[27];
iPod nano 6G;Apple;2010-09-08[28];Micro;DAP;0016 8/16;Flash;;{{convert|1.48|×|1.61|in|mm|abbr=on|disp=output number only}};{{convert|0.35|in|mm|disp=output number only}};{{convert|0.74|oz|g|disp=output number only}};1.2[29];
iPod touch 5G;Apple;2012-10-09[30];Mini;PMP;0064 32/64;Flash;;123.4 x 58.6;6.1;88;9.0;
iriver clix 2G;ReignCom;2007-04-24[31];Micro;PMP;0008 2/4/8;Flash;;{{convert|3.16|×|1.84|in|mm|abbr=on|disp=output number only}};{{convert|0.32|–|0.5|in|mm|disp=output number only}};{{convert|1.9|oz|g|disp=output number only}};1.07;
PSP Slim & Lite;Sony;2007-08-30[32];Mid;PMP, HGC;0064 64[33];;Memory Stick;{{convert|6.7|×|2.9|in|mm|abbr=on|disp=output number only}};{{convert|0.71|in|mm|disp=output number only}};{{convert|6.67|oz|g|disp=output number only}};6.10[34];
Rio PMP300;Diamond Multimedia;1998-09-15;Mid;DAP;0.032;Flash;SmartMedia;89x63;16;;;
Samsung Galaxy Player 4.0 & 5.0;Samsung;2011-10-16[35];Mid;PMP;0008 8/16;Flash;microSDHC;123.7 x 64.2 (4.0), 141.3 x 78.2 (5.0);9.9 (4.0), 11.9 (5.0);121 (4.0), 182 (5.0);2.3.5;
Samsung T10;Samsung;2007-09;;DAP;0008 2/4/8;Flash;;96 × 41.4;7.9;43;3.06[36];
Samsung P2;Samsung;2007-09;;DAP;0008 4/8;Flash;;100 × 52;9.9;83;5.10[37];
Sansa Fuze;SanDisk;2008-03-17[38];;DAP;0008 2/4/8;Flash;microSDHC;78.7 × 48.3;7.6;59.5;01.02.28 & 02.03.33[39];
Sansa Fuze+;SanDisk;2010-09-01[40];;PMP;0008 4/8/16;Flash;microSD microSDHC;96.5 × 50.7;11.1;170;02.38.06[41];
Sansa View;SanDisk;2007-10-26[42];;PMP;0032 8/16/32;Flash;microSDHC;{{convert|4.29|×|1.95|in|mm|abbr=on|disp=output number only}};{{convert|0.41|in|mm|disp=output number only}};{{convert|2.9|oz|g|disp=output number only}};01.03.02a[43];
Walkman NWZ-A820 series;Sony;2008-03-28[44];;DAP;0008 4/8/16;Flash;;{{convert|3.5|×|1.7|in|mm|abbr=on|disp=output number only}};{{convert|0.4|in|mm|disp=output number only}};{{convert|1.9|oz|g|disp=output number only}};1.02;
Walkman NWZ-E580 series;Sony;2013-07-10[45];;DAP;0008 8/16;;;42.1 x 92.1;8;49;;
ZEN;Creative;2007-09-14[46];Micro;PMP;0032 2/4/8/16/32;Flash;SDHC[3];{{convert|3.26|×|2.16|in|mm|abbr=on|disp=output number only}};{{convert|0.44|in|mm|disp=output number only}};{{convert|2.29|oz|g|disp=output number only}};1.21.01[47];
ZEN X-Fi;Creative;2008-07-10;Micro;PMP;0032 8/16/32;Flash;SD;{{convert|3.27|×|2.17|in|mm|abbr=on|disp=output number only}};{{convert|0.5|in|mm|disp=output number only}};{{convert|2.43|oz|g|disp=output number only}};1.03.01[48];
ZEN Vision W;Creative;2006-08-30;Mid;PMP;0060 30/60;HDD;CF;{{convert|5.27|×|2.95|in|mm|abbr=on|disp=output number only}};{{convert|0.86|in|mm|disp=output number only}};{{convert|9.73|oz|g|disp=output number only}};1.10.01[49];
