Name;Windows;Mac OS X;Linux;Unix;BSD;Other;
3ds Max;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
AC3D;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Art of Illusion;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|Anything with Java support}};
AutoCAD;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Blender;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Solaris, AmigaOS 4, MorphOS}};
Carrara;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Cheetah 3D;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Cinema 4D;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|Amiga OS}};
Clara.io;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Chrome OS, Android}};
DesignSpark Mechanical;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Electric Image Animation System;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
form-Z;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
HiCAD;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Houdini;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
IClone;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
LightWave 3D;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|AmigaOS}};
MakeHuman;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Massive;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Maya;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Metasequoia;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Modo;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
POV-Ray;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|Amiga OS, Atari TOS}};
Remo 3D;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Shade;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Silo;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
SketchUp Make;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
SketchUp Pro;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Softimage;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Solid Edge;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
solidThinking;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
solidWorks;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
SpaceClaim;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
TopSolid;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
trueSpace;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes|Amiga OS}};
Verto Studio 3D;{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|iOS}};
E-on Vue;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Wings 3D;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
ZBrush;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
