NAME;Maximum zoom;Object limit per document;Control point limit;Color management for print;Thumbnails;Adjust Image (functions);Text Recognition (OCR);Scripting support;
Easy Trace;12800x;No Limit;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
FreeHand;64x;{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{no}};{{yes}};
Graphic Tracer Professional;No limit;No limit;No limit;{{no}};{{dunno}};{{dunno}};{{yes}};{{no}};
Illustrator;640x;{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};
Potrace;N/A;{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{no}};{{no}};
ImageTracer[1];N/A;No limit;No limit;{{no}};{{no}};{{dunno}};{{no}};{{yes}};
Scan2CAD;64K;No limit;No limit;{{yes}};{{dunno}};{{dunno}};{{Yes}};{{Yes}};
WinTopo Pro[2];512x;No limit;No limit;{{yes}};{{yes}};{{yes}};{{no}};{{Yes}};
! Maximum zoom;Object limit per document;Control point limit;Color management for print;Thumbnails;adjust image (functions);Text Recognition (OCR);Scripting support;
