Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
While-in-use permissions;{{No}};{{Okay|11+: Location only}}[34];{{No}};{{No}};{{No}};{{No}};{{Yes}};
Per-app Internet access;{{No2}}No,[35] 3rd party software[36];{{Okay|7+: Cellular only;}}[37] 3rd party software on jailbroken devices[38];{{No}};{{Yes}}[39];{{No}};{{No}};{{No}};
Per-app identity access;{{Yes|8+}}[40];{{Yes|6+}}[41][42];{{No}};{{Yes}};{{No}};{{No}};{{Yes}};
Per-app user data access;{{Yes|6+}}[43];{{Yes|6+}}[44];{{Yes|8.1update2+}}[45];{{Yes}}[39];{{No}};{{No}};{{Yes}};
Per-app background execution;{{No2}} No,[46] 3rd party apps available[47];{{Yes|7+}}[48];{{Yes}}[49];{{Yes|10.2.1+}}[50];{{No}};{{No}};{{No|Background execution not allowed}};
Per-app notifications;{{Yes|4.1+}}[51];{{Yes|5+}}[52][53];{{Yes|8.1+}}[54];{{Yes|10+}};{{No}};{{No}};{{Yes}};
Per-app location access;{{Yes|6+}}[43];{{Yes|4+}}[55];{{Yes|10+}}[56];{{Yes}}[39];{{No}};{{No}};{{Yes}};
Per-app camera access;{{Yes|6+}}[43];{{Yes|8+}}[57];{{Yes|8.1update2+}}[45];{{Yes}}[39];{{No}};{{No}};{{Yes}};
Per-app microphone access;{{Yes|6+}}[43];{{Yes|7+}}[58];{{Yes|8.1update2+}}[45];{{Yes}}[39];{{No}};{{No}};{{Yes}};
Per-app shared files access;{{Yes|6+}}[43];{{Yes|8+}}[59];{{No}};{{Yes}}[39];{{No}};{{No}};{{Yes}};
Per-app network data usage auditing;{{Yes|4+}}[60];{{Yes}}[61];{{Yes|8 GDR2+}} Data Sense[62] or Nokia Counters in 7.5+[63];{{Yes}}[64];?;{{No}}[65];{{No}};
Fine grained storage usage;{{Yes}}[66];{{Yes|5+}}[67];{{Yes|8 GDR3+}}[68];{{Yes|10.2.1+}};?;{{No}};{{Yes}};
Parental controls;{{Rarely|4.3+}} or 3rd party software[69];{{Yes}}[70];{{Yes|8+}}[71];{{Yes|7.1+}}[72];?;{{No}};{{No}};
Screen orientation lock;{{Yes}}[73];{{Yes}}[74];{{Yes|8 GDR3+}}[75];{{Yes|10+}}[76];?;{{Yes|1.0.4.1+}}[77];{{Yes}};
File manager;{{Yes|6.0+}}[78];{{Yes|11+}}[79];{{Yes|8.1+}}[80];{{Yes|10+}}[81];{{No2}} 3rd party software[82];{{Yes}}[83];{{Yes}};
File manager write access to external storage;{{Yes|6+}}[84] Or 3rd party software like LineageOS;{{No2|3rd party software and external storage}}[85];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Multi-user;{{Yes|4.2+, including phones 5+}}[86][87];{{Okay|9.3+: Education use only on iPad}}[88];{{No}};{{No}};{{No}};{{No}};{{No}};
Guest mode;{{Yes|5+}}[89];{{Yes|6+}}[90];{{Yes|8+}}[71];{{No}};{{No}};{{No}};{{No}};
Do not disturb mode;{{Yes|5+}}[91];{{Yes|6+}}[92];{{Yes|8.1+}}[93];{{Yes}};{{No}};{{No}};{{No}};
App groups;{{Yes}};{{Yes|4+}}[94];{{Yes|8.1 Update+}};{{Yes}}[95];?;{{Yes|1.0.7.16+}}[96];{{Yes}};
