Name;H.264;ASF;WMV;DivX / Xvid;MPEG-4;AVI;QuickTime;Other formats;
Archos 105;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Archos 405;{{yes2}} No[90];{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes2}} No[90];{{yes2}} MPEG-2[90];
Archos 5;{{yes2}} No[90];{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}} No[90];{{yes2}} MPEG-2,[90] MKV;
Archos 605 WiFi / GPS;{{yes2}} No[90];{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}} No[90];{{yes2}} MPEG-2[90];
Archos 705 WiFi;{{yes2}} No[90];{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}} No[90];{{yes2}} MPEG-2[90];
Cowon A3;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|MKV, MTV, OGM, VOB, DAT, AMV, MJPEG, MPEG-1}};
Cowon D2;{{no}};{{no}};{{yes}};{{yes2}} No[95];{{no}};{{yes}};{{no}};{{no}};
Cowon Q5W;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|OGM}};
Gigabeat T-Series;{{no}};{{yes}};{{yes}};{{yes2}} No[96];{{yes2}} No[96];{{yes2}} No[96];{{yes2}} No[96];{{no}};
GP2X F-200;{{no}};{{no}};{{yes2}} No[91];{{yes}};{{yes}};{{yes}};{{no}};{{no}};
iPod (before Nano 6G; iPod 6G does);{{yes}};{{no}};{{no}};{{yes2}} with plugin;{{yes}};{{yes2}} with plugin;{{yes}};{{no}};
iriver clix 2G;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
PSP Slim & Lite;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|MJPEG}};
Rio PMP300;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Samsung Galaxy Player;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|MKV}};
Samsung T10;{{no}};{{no}};{{yes}};{{yes|.svi only}};{{yes}};{{no}};{{no}};{{no}};
Samsung P2;{{no}};{{no}};{{yes}};{{yes|.svi only}};{{yes}};{{no}};{{no}};{{no}};
Sansa Fuze;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Sansa Fuze+;{{yes}}[97];{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes|MPEG-4 Part 14}};
Walkman NWZ-A810 series;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
ZEN;{{yes2}} No[96];{{no}};{{yes}};{{yes}};{{yes2}} No[96];{{yes}};{{no}};{{yes|MJPEG}};
ZEN Vision W;{{yes2}} No[96];{{no}};{{yes}};{{yes}};{{yes2}} No[96];{{yes}};{{no}};{{yes|MJPEG}};
Zune;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes2}}DVR-MS[96];
ZVUE 260;{{no}};{{yes}};{{yes}};{{yes|Xvid only}};{{yes}};{{yes}};{{no}};{{no}};
