Name;License;Deployment;Platforms;
10SCAPE[1];Proprietary[2];SaaS;All;
Docusnap[3];Proprietary;Desktop;Windows;
Graphical Networks[4];Proprietary;Desktop;Windows;
Netbrain Tech[5];Proprietary;Desktop;Windows;
