;Creator(s);First public release date;Latest stable version;Cost (USD);Software license;
7-Zip;Igor Pavlov;{{Start date and age|1999|01|02}};18.05 {{start date and age|2018|04|30}};{{Free}};{{Free|LGPL (RAR plugin is proprietary)}};
ALZip;ESTsoft;{{start date and age|1999}} (as a WinZip translation);{{Latest stable software release/ALZip}};{{Free|A free general serial number was published on developer's website altools.com in August 2012}};{{Proprietary}};
ALZip for Mac;ESTsoft;{{start date and age|1999}} (as a WinZip translation);{{Latest stable software release/ALZip for Mac}};{{Free|A free general serial number was published on developer's website altools.com in August 2012}};{{Proprietary}};
Archive Manager;Paolo Bacchilega;{{start date and age|2001|05|12}};3.20.2 {{Start date and age|2016|05|10}}[1];{{Free}};{{Free|GPL}};
Archive Utility;Apple Inc.;{{start date and age|2003|10|24}};{{Latest stable software release/Archive Utility}};{{Free|Included with Mac OS X Core Services}};{{Proprietary}};
Ark;KDE team;1997;15.12.3 {{start date and age|2016|3|15}};{{Free}};{{Free|GPL}};
B1 Free Archiver;Adam Buyer;{{start date and age|2011|08}};1.5.86 {{start date and age|2013|11|25}};{{Free}};{{Proprietary}};
BetterZip;BetterZip;{{start date and age|2006|05}};{{Latest stable software release/BetterZip}};{{Nonfree|$19.95 USD}};{{Proprietary}};
Commander One;Eltima Software;{{start date and age|2015|08|04}};1.1 {{start date and age|2015|09|29}};{{Free|Standard Free; $29.95 Pro Pack}};{{Proprietary}};
Compressed Folders;Microsoft Inc.;{{start date and age|1998|06|25}};Windows 8.1 {{start date and age|2013|08|27}};{{Free|Included in Microsoft Windows Windows Explorer shell since Windows 98.}};{{Proprietary}};
CRAX Commander;Soft4U2;{{start date and age|2013|09|01}};1.10.9 {{start date and age|2016|03|02}};{{Nonfree|$19.99 USD}};{{Proprietary}};
Disk ARchiver;Denis Corbin;{{start date and age|2002}};2.5.14 {{start date and age|2017|12|20}};{{Free}};{{Free|GPL}};
Expander;Haiku, Inc.;{{start date and age|2002}};{{Latest preview software release/Haiku (operating system)}};{{Free}};{{Free|MIT}};
Filzip;Philipp Engel;{{unk}};{{Latest stable software release/Filzip}};{{Free}};{{Proprietary}};
FreeArc;Bulat Ziganshin;{{start date and age|2007|11|1}} v0.36;0.666 ({{start date and age|2010|5|20}});{{Free}};{{Free|GPL}};
iArchiver;Dare to be Creative Ltd.;{{start date and age|2007|10|21}};1.4.1 {{start date and age|2008|10|30}};{{Nonfree|$26}};{{Proprietary}};
Info-ZIP (Wzip);Samuel Smith;{{start date and age|1989|3}};6.0 {{start date and age|2009|4|29}};{{Free}};{{Free|BSD-like}};
KGB Archiver;Tomasz Pawlak;{{start date and age|2006|04|01}};1.2.1.24 {{start date and age|2006|11|1}};{{Free}};{{Free|GPL}};
PeaZip;Giorgio Tani;{{start date and age|2006|9|16}};6.6.1 {{start date and age|2018|10|28}};{{Free}};{{Free|LGPL}};
PKZIP;Phil Katz;{{start date and age|1989}};12.4[2] (ca. {{start date and age|2009|9}});{{Nonfree|$29.00}};{{Proprietary}};
PowerArchiver;ConexWare;{{start date and age|1999|3}};17.01.04 {{start date and age|2017|10|5}};{{Nonfree|$22.95}};{{Proprietary}};
StuffIt;Smith Micro Software;{{start date and age|1987}};15.0.7 {{start date and age|2011|12|01}}[3];{{Nonfree|Free expander; $49.99 Deluxe,[4] $79.99 French Deluxe;[5] Windows: $14.99 Standard,[6] $29.99 Deluxe,[7] $49.99 French (or German) Deluxe[8][9]}};{{Proprietary}};
TAR;AT&T;{{start date and age|1979}};GNU tar: {{Latest stable software release/Tar}}; star: 1.5.3; BSD tar: 2.6.0;{{Free}};{{Free|Various}};
The Unarchiver;Circlesoft;{{start date and age|2006|7|1}};3.11.3 {{start date and age|2017|9|16}};{{Free}};{{Free|LGPL}};
Terse;IBM;{{start date and age|1984|7|1}};;{{Free}};{{proprietary}};
TUGZip;Christian Kindahl;{{start date and age|2002|8|18}};3.5.0.0 {{start date and age|2008|4|2}};{{Free}};{{Proprietary}};
WinAce;e-merge GmbH;{{unk}};2.69 {{start date and age|2007|11|23}};{{Nonfree|Free expander (GNU/Linux & Mac only); $29.00 Standard; $39.00 Plus}};{{Proprietary}};
WinRAR;Eugene Roshal / Alexander Roshal;{{start date and age|1993}};{{Latest stable software release/WinRAR}};{{Nonfree|Free expander; $29[10]}};{{Proprietary}};
WinZip;WinZip Computing, Inc;{{start date and age|1991}};{{Latest stable software release/WinZip}};{{Nonfree|$29.95 Standard; $49.95 Pro}};{{Proprietary}};
XAD a.k.a. XADMaster.library;Dirk Stoecker;{{start date and age|1998}};13.1;{{Nonfree|Shareware, Free for non commercial use}};{{Proprietary}};
Xarchiver;Giuseppe Torelli;{{unk}};0.5.4 {{start date and age|2014|09|14}};{{Free}};{{Free|GPL}};
ZipGenius;Matteo Riso of M.Dev Software;{{start date and age|2003|5}};6.3.2.3112 {{start date and age|2014|8|8}};{{Free}};{{Proprietary}};
;Creator(s);First public release date;Latest stable version;Cost (USD);Software license;
