Name;FM radio;Microphone;Line-in recording;DVR recording;Playback while charging;USB host;HDMI out;
Archos 105;{{no}};{{no}};{{no}};{{no}};{{unk}};;;
Archos 405;{{no}};{{no}};{{no}};{{yes}};{{unk}};;;
Archos 5;{{yes2}} With FM remote;{{yes2}} With FM remote;{{yes2}} With dock;{{yes2}} With DVR dock;{{yes2}} With dock;;;
Archos 605 WiFi / GPS;{{no}};{{no}};{{no}};{{yes}};{{yes}};;;
Archos 705 WiFi;{{no}};{{no}};{{no}};{{yes}};{{unk}};;;
Cowon A3;{{yes}};{{yes}};{{yes}};{{no}};{{unk}};{{yes}};;
Cowon D2;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};;;
Cowon Q5W;{{yes}};{{yes}};{{no}};{{no}};{{unk}};;;
Gigabeat T-Series;{{no}};{{no}};{{yes}};{{no}};{{unk}};;;
GP2X F-200;{{no}};{{no}};{{no}};{{no}};{{unk}};;;
iPod;{{yes2}} Nano generations 5 & 6 only;{{yes}};{{no}};{{no}};{{yes}};;{{yes2}} iPod Touch only;
iriver clix 2G;{{yes}};{{yes}};{{yes2}}No[98];{{no}};{{unk}};;;
PSP 1000 Series;{{no}};{{no}};{{no}};{{no}};{{yes}};;;
PSP Slim & Lite 2000 Series;{{no}};{{yes2}}Accessory only;{{no}};{{no}};{{yes}};;;
PSP Slim & Lite 3000 Series;{{no}};{{yes}};{{no}};{{no}};{{yes}};;;
Samsung Galaxy Player;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes2}} Korean version only;
Samsung T10;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}Power only; no data[99];;;
Samsung P2;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}Power only; no data[99];;;
Sansa Fuze;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}Power only; no data[99];;;
Sansa Fuze+;{{yes|with pause and record}};{{yes}};{{no}};{{no}};{{yes2}}Power only; no data[99];;;
Sansa View;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}Power only; no data[99];;;
Walkman NWZ-A810 series;{{no}};{{no}};{{no}};{{no}};{{yes}};;;
ZEN;{{yes}};{{yes}};{{no}};{{no}};{{yes}};;;
ZEN Vision W;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}Power only; no data[99];;;
Zune;{{yes}} {{HD Radio}};{{no}};{{no}};{{no}};{{yes}};;{{yes}}, Zune HD;
Zvue 260;{{no}};{{no}};{{no}};{{no}};{{no}};;;
