Client;Secure POP3;Secure IMAP4;Secure SMTP;Secure NNTP;Secure LDAP;SNI;OCSP {{r|group=Note|OCSP}};CRL {{r|group=Note|CRL}};
SSL;TLS {{r|group=Note|IMAPPOP}};SSL;TLS {{r|group=Note|IMAPPOP}};SSL;TLS {{r|group=Note|SMTPTLS}};SSL;TLS;SSL;TLS;
Opera Mail;{{yes}};{{partial}} {{r|group=Note|M2STLS}};{{yes}};{{partial}} {{r|group=Note|M2STLS}};{{yes}};{{partial}} {{r|group=Note|M2STLS}};{{yes}};{{no}};{{n/a}};{{n/a}};{{dunno}};{{yes}};{{yes}};
Outlook Express;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pegasus Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Pocomail;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
RoundCube;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
SeaMonkey Mail & Newsgroups;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Spicebird;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
SquirrelMail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Sylpheed;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
The Bat!;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}} {{r|group=Note|TBCSP}};{{yes}} {{r|group=Note|TBCSP}};
Trojitá;{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}} (system);{{yes}} (system);
Turnpike;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows Live Mail;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows Mail;{{yes}};{{no}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
YAM;{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Zimbra;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Client;Secure POP3;Secure IMAP4;Secure SMTP;Secure NNTP;Secure LDAP;SNI;OCSP {{r|group=Note|OCSP}};CRL {{r|group=Note|CRL}};
SSL;TLS {{r|group=Note|IMAPPOP}};SSL;TLS {{r|group=Note|IMAPPOP}};SSL;TLS {{r|group=Note|SMTPTLS}};SSL;TLS;SSL;TLS;
