License;Author;Latest version;Publication date;Linking;Distribution;Modification;Patent grant;Private use;Sublicensing;<abbr title="trademark">TM</abbr> grant;
;;;;;;;;;;;
Academic Free License[10];Lawrence E. Rosen;3.0;2002;{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{yes}};{{yes}};{{yes|Permissive}};{{no}};
Affero General Public License;Affero Inc;2.0;2007;{{free|Copylefted}}[11];{{free|Copyleft except for the GNU AGPL}}[11];{{free|Copyleft}}[11];{{dunno}};{{yes}}[11];{{dunno}};{{dunno}};
Apache License;Apache Software Foundation;2.0;2004;{{yes|Permissive}}[12];{{yes|Permissive}}[12];{{yes|Permissive}}[12];{{yes}}[12];{{yes}}[12];{{yes|Permissive}}[12];{{no}}[12];
Apple Public Source License;Apple Computer;2.0;2003August 6, 2003;{{yes|Permissive}};{{dunno}};{{partial|Limited}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Artistic License;Larry Wall;2.0;2000;{{partial|With restrictions}};{{partial|With restrictions}};{{partial|With restrictions}};{{no}};{{yes|Permissive}};{{partial|With restrictions}};{{no}};
Beerware;Poul-Henning Kamp;42;1987;{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{no}};{{yes|Permissive}};{{yes|Permissive}};{{no}};
BSD License;Regents of the University of California;3.0;{{dunno}};{{yes|Permissive}}[13];{{yes|Permissive}}[13];{{yes|Permissive}}[13];{{no|Manually}}[13];{{yes}}[13];{{yes|Permissive}}[13];{{No|Manually}}[13];
Boost Software License;{{dunno}};1.0;2003August 17, 2003;{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Creative Commons Zero;Creative Commons;1.0;2009;{{yes|Public Domain}}[14][15];{{yes|Public Domain}};{{yes|Public Domain}};{{no}};{{yes|Public Domain}};{{yes|Public Domain}};{{no}};
CC-BY;Creative Commons;4.0;2002;{{yes|Permissive}}[16];{{yes|Permissive}};{{yes|Permissive}};{{no}};{{yes}};{{yes|Permissive}};{{dunno}};
CC-BY-SA;Creative Commons;4.0;2002;{{Free|Copylefted}}[16];{{Free|Copylefted}};{{free|Copylefted}};{{no}};{{yes}};{{no}};{{dunno}};
CeCILL;CEA / CNRS / INRIA;2.1;2005June 21, 2013;{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{no}};{{yes|Permissive}};{{partial|With restrictions}};{{no}};
Common Development and Distribution License;Sun Microsystems;1.0;2004-12December 1, 2004;{{yes|Permissive}};{{dunno}};{{partial|Limited}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Common Public License;IBM;1.0;2001May 2001;{{yes|Permissive}};{{dunno}};{{free|Copylefted}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Cryptix General License;Cryptix Foundation;{{n/a}};1995;{{yes|Permissive}};{{yes|Permissive}};{{yes|Permissive}};{{no|Manually}};{{yes}};{{dunno}};{{No|Manually}};
Eclipse Public License;Eclipse Foundation;2.0;August 24, 2017;{{partial|Limited}}[17];{{partial|Limited}}[17];{{partial|Limited}}[17];{{yes}}[17];{{yes}}[17];{{partial|Limited}}[17];{{No|Manually}}[17];
Educational Community License;Indiana University[18];1.0;2007;{{yes|Permissive}};{{dunno}};{{yes|Permissive}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
European Union Public Licence;European Commission;1.2;2009May 2017;{{free|Copylefted, with an explicit compatibility list}}[19];{{free|Copylefted, with an explicit compatibility list}}[19];{{free|Copylefted, with an explicit compatibility list}}[19];{{yes}}[20];{{yes}}[20];{{free|Copylefted, with an explicit compatibility list}}[19];{{no}}[20];
GNU Affero General Public License;Free Software Foundation;3.0;2007;{{free|GNU GPLv3 only}}[21];{{free|Copylefted}}[22];{{free|Copylefted}}[22];{{yes}}[23];{{free|Copylefted}}[23];{{free|Copylefted}}[22];{{yes}}[23];
