Foundatio;Company;Founded;Storage;Monthly bandwidth;File size limit;FTP upload;Page builder;Templates;Ad-free;Blog;Domain registration;Archive site;Custom HTML;Custom CSS;Custom JavaScript;Custom File hosting;API;HTML5;eCommerce;Prices of connecting owned domain;
Angelfire;Lycos;1996;{{hs|0020}}20 MB;{{hs|001000}}1 GB;{{dunno}};Paid Only;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};?;
Google Sites*;Google;2008;{{hs|0100}}100 MB;{{hs|030000}}1 GB/day;{{hs|020}}20 MB[1];{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{partial}};{{Yes}};{{Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{hs|00.00}}Free[2];
Jimdo[3];Jimdo;2007;{{hs|0500}}500 MB;{{hs|002000}}2GB;{{hs|010}}10 MB - 100 MB;{{no}};{{yes}};{{yes}};Paid Only;{{yes}};Paid Only;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{hs|90.00}}US$90/year;
Neocities;Neocities;2013;{{hs|1000}}1 GB;{{hs|200000}}200 GB;{{hs|100}}100 MB;{{no}};{{yes}};{{yes}};{{yes}};{{no}};Paid Only;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{hs|60.00}}US$5.00/mo[4];
Tripod.com;Lycos;1995;{{hs|0020}}20 MB;{{hs|001000}}1 GB;{{dunno}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};?;
uCoz;uCoz Media;2005;{{hs|0400}}400 MB;Unlimited;{{hs|015}}15 MB;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{Yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};?;
Webnode;Webnode;2008;{{hs|0100}}100 MB;{{hs|001000}}1 GB;{{hs|100}}100 MB;{{no}};{{yes}};{{yes}};{{no}};{{yes}};Paid Only;{{yes}};{{partial}};{{partial}};{{partial}};{{yes}};{{no}};{{yes}};{{yes}};{{hs|47.40}}US$3.95/mo[5];
Webs;FreeWebs;2001;{{hs|0040}}40+ MB;{{hs|000500}}500 MB;{{dunno}};Paid Only;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};Paid Only;{{Yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{yes}};{{hs|71.88}}US$5.99/mo;
Weebly;Weebly;2006;{{hs|0500}}500MB;Unlimited;{{hs|010}}10 MB;{{no}};{{yes}};{{yes}};{{no}};{{yes}};Paid Only;{{yes}};{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[6];Paid Only;{{hs|96.00}}US$96/yr;
Wix.com;Wix.com;2006;{{hs|0500}}500MB;{{hs|000500}}500MB;{{hs|050}}50MB;{{No}};{{yes}};{{yes}};US$10/mo;{{yes}};Paid Only;{{yes}};{{Partial}};Inline Only;{{Yes}};{{no}};{{Yes}};{{Yes}};{{Yes}}[7];{{hs|60.00}}US$5.00/mo[8];
WordPress.com;Automattic;2004;{{hs|3000}}3 GB;Unlimited;Unlimited;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{Partial}};Paid Only;{{no}};{{no}};{{yes}};{{yes}};{{yes}}[9];{{hs|04.00}}US$4.00/mo[10];
Yola;Yola;2007;{{hs|1000}}1 GB;{{hs|001000}}1 GB;{{hs|005}}5 MB;{{No}};{{yes}};{{yes}};{{yes}};{{yes}};Paid only;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};Paid only;Yes[11];No;US$4.95/mo;
