Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable;
pdksh;POSIX;ksh, sh;1989?;{{yes}};OpenBSD[17];OpenBSD[17];{{free|Public Domain}};{{yes}};Text-based CLI;{{no}};{{no}};{{N/A}};{{yes}};{{yes|Yes (arbitrary fds)}};{{yes|Yes (via variables and options)}};{{yes|Yes (/etc/profile, .profile)}};{{yes|Yes (Unix feature)}};{{yes}};{{yes}};
zsh;POSIX;zsh;1990;{{yes}};Deepin, Gobolinux, Grml;Grml;{{free|MIT-style}};{{yes}};Text-based CLI;{{yes|via additional code[18]}};{{yes}};{{yes|Yes (various internal features involving the date, by using the %F strftime format[19] and the -i option for the fc builtin[20])}};{{yes}};{{yes|Yes (arbitrary fds)}};{{yes|Yes (via variables, options, functions, styles, etc.)}};{{yes|Yes (system and user's zshenv, zprofile, zshrc, zlogin, zlogout)}};{{yes|Yes (Unix feature)}};{{yes}};{{yes}};
ash;POSIX;sh;1989;{{yes}};Minix, BusyBox based systems;NetBSD, Minix, BusyBox based systems;{{free|BSD-style}};{{yes}};Text-based CLI;{{no}};{{partial}} (for BusyBox, supported in command-line editing, but not in string handling[21]);{{N/A}};{{yes}};{{yes|Yes (arbitrary fds)}};{{yes|Yes (via variables and options)}};{{yes|Yes (/etc/profile, .profile)}};{{yes|Yes (Unix feature)}};{{yes}};{{yes}};
CCP;CP/M, MP/M;(CCP);1975 (1973);{{no}};CP/M (no login), MP/M;CP/M, MP/M;{{proprietary|Freeware (originally proprietary)}};{{yes}} (originally closed-source);Text-based CLI;{{no}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{yes}} (automatic via $$$.SUB);{{partial}} (only via external SUBMIT command to update $$$.SUB);{{no}};{{yes}};
COMMAND.COM;DOS;COMMAND;1980;{{no}} (3rd party implementations, not bound to a specific DOS vendor or version, available);DOS, Windows 95, 98, SE, ME;DOS, Windows 95, 98, SE, ME;vendor specific, f.e. MS-EULA,[22] or BSD/GPL (free clones);{{no}} (except for OpenDOS, DR-DOS, PTS/DOS and FreeDOS);Text-based CLI;{{no}};{{no}};{{no}} (except for DR-DOS);{{yes}} (via COMMAND con: or CTTY con:);{{yes|Yes (stdin, stdout)}};{{yes}} (via startup parameters and environment variables, DR-DOS also supports DIR /C /R user-default switch command);{{yes}} (automatic \AUTOEXEC.BAT for primary shell, or explicitly via /P, /P:filename.bat or /K startup options);{{yes}} (via CALL command or /C and /K startup options);{{no}};{{yes}};
OS/2 CMD.EXE;OS/2;CMD;1987;{{no}};OS/2;OS/2;{{proprietary|IBM-EULA}}[23];{{no}};Text-based CLI;{{no}};{{no}};{{no}};{{no}};{{yes|Yes (stdin, stdout, stderr)}};{{dunno}};{{partial}} (only via /K startup option);{{yes}} (via CALL command or /C and /K startup options);{{no}};{{dunno}};
Windows CMD.EXE[24];Win32;CMD;1993;{{no}};Windows NT, 2000, XP, Server 2003, Vista;Windows NT, 2000, XP, Server 2003, Vista;{{proprietary|MS-EULA}}[25];{{no}};Text-based CLI;{{no}};{{partial}} (CHCP 65001 for UTF-8, but program arguments are still encoded in local codepage);{{no}};{{no}};{{yes}};{{yes}} (via registry, startup parameters, and environment variables);{{yes}} (automatic via registry, or explicitly via /K startup option);{{yes}} (via CALL command or /C and /K startup options);{{no}};{{yes}};
4DOS, NDOS;DOS, Windows 95, 98, SE, ME;4DOS, NDOS;1989 (1986);{{no|No (not bound to a specific OS vendor or version)}};{{optional}};{{optional}};{{free|MIT License, with restrictions}};{{yes}};Text-based CLI with TUI extensions;{{yes}} (popups, help system, %_MOUSE internal variable, INKEY /M command);{{no}};{{yes}};{{yes}} (via CTTY con:, except for DRAWBOX, DRAWLINE, DRAWVLINE, LIST, SCREEN, SCRPUT, SELECT, VSCRPUT commands and file / directory coloring);{{yes|Yes (stdin, stdout, stderr, stdout+stderr)}};{{yes}} (via 4DOS.INI/NDOS.INI file, startup parameters, environment variables, SETDOS command);{{yes}} (automatic \AUTOEXEC.BAT for primary shell and 4START.BTM/4START.BAT as well as 4EXIT.BTM/4EXIT.BAT for any shell, or explicitly via /P, /P:dir\filename.ext or /K startup options);{{yes}} (via CALL command or /C and /K startup options);{{yes}};{{yes}};
4OS2;OS/2;4OS2;1992;{{no|No (not bound to specific OS/2 versions)}};{{optional}};{{optional}};{{proprietary|Freeware}};{{yes}};Text-based CLI;{{no}};{{no}};{{no}};{{no}};{{yes|Yes (stdin, stdout, stderr, stdout+stderr)}};{{yes}} (via 4OS2.INI file, startup parameters, environment variables, SETDOS command);{{yes}} (automatic via 4START.CMD/4START.BTM as well as 4EXIT.CMD/4EXIT.BTM files, or explicitly via /K startup.cmd option);{{yes}} (via CALL command or /C and /K startup options);{{yes}};{{dunno}};
TCC (formerly 4NT);Win32;TCC;1993;{{no|No (not bound to specific NT versions)}};optional;optional;{{proprietary|Shareware}};{{no}};Text-based CLI (Take Command: GUI);{{yes}} (console mouse, popups, help system, %_XMOUSE, %_YMOUSE internal variables, INKEY /M command);{{yes}};{{yes}};{{no}};{{yes|Yes (stdin, stdout, stderr, stdout+stderr)}};{{yes}} (via registry, TCMD.INI/4NT.INI file, startup parameters, environment variables, SETDOS command);{{yes}} (automatic via registry and TCSTART/4START as well as TCEXIT/4EXIT, or explicitly via /K startup option);{{yes}} (via CALL command or /C and /K startup options);{{yes}};{{no}};
VMS DCL[26];OpenVMS;Automatically for login/interactive process;1977?;{{yes}};VMS;VMS;Proprietary, bundled in VMS;{{no|by special license only}};Text-based CLI;{{yes|with DECwindows/Motif}};{{yes}};{{yes|Yes, at least to 1988 standard}};{{yes}};{{yes|Yes (sys$input, sys$output assignment)}};{{yes|Yes (via symbols, logical names, and options)}};{{yes|Yes (SYS$MANAGER:SYLOGIN.COM and user defined LOGIN.COM)}};{{yes}};{{yes}};{{no}};
PowerShell;.NET;PowerShell;2006;{{yes}};Windows Server 2008, 7, Vista, XP[27];Windows Server 2008, 7;{{free|MIT-style}};{{yes}};Graphical CLI;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|Yes (via variables and options)}};{{yes|Yes (%USERPROFILE%\Documents \WindowsPowerShell\Microsoft.PowerShell_profile.ps1)}};{{yes|Yes (PowerShell feature)}};{{yes}};{{no}};
rc;Plan 9, POSIX;rc;1989;{{yes}};Plan 9, Version 10 Unix;Plan 9, Version 10 Unix;{{free|Lucent Public License}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};
BeanShell;Java;{{dunno}};2005;{{yes}};{{dunno}};{{dunno}};{{free|LGPL}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
fish;POSIX;fish;2005[28];{{yes}};GhostBSD;{{dunno}};{{free|GPL}};{{yes}};Text-based CLI;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes|Yes (arbitrary fds)}};{{yes|Yes (through environment variables and via web interface through fish_config)}};{{yes|Yes (/etc/fish/config.fish and ~/.config/fish/config.fish)}};{{yes|Yes (Unix feature)}};{{yes|Yes (~/.config/fish/fish_history*)}};{{dunno}};
Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable;
