Code range (hexadecimal);UTF-7;UTF-8 quoted- printable;UTF-8 base64;UTF-16 q.-p.;UTF-16 base64 <!--!UTF-32 q.-p.;UTF-32 base64 
the table become too wide, rewritten UTF-32 as a text below the table -->;GB 18030 q.-p.;GB 18030 base64;
ASCII graphic characters (except U+003D "=");1 for "direct characters" (depends on the encoder setting for some code points), 2 for U+002B "+", otherwise same as for 000080 – 00FFFF;1;{{frac|1|1|3}};4;{{frac|2|2|3}} <!--|10;5? -->;1;{{frac|1|1|3}};
00003D (equals sign);3;6;3;
ASCII control characters: 000000 – 00001F and 00007F;as above, depending on directness;1 or 3 depending on directness;1 or 3 depending on directness;
000080 – 0007FF;5 for an isolated case inside a run of single byte characters. For runs {{frac|2|2|3}} per character plus padding to make it a whole number of bytes plus two to start and finish the run;6;{{frac|2|2|3}};2–6 depending on if the byte values need to be escaped;4–6 for characters inherited from GB2312/GBK (e.g. most Chinese characters) 8 for everything else.;{{frac|2|2|3}} for characters inherited from GB2312/GBK (e.g. most Chinese characters) {{frac|5|1|3}} for everything else.;
000800 – 00FFFF;9;4;
010000 – 10FFFF;8 for isolated case, {{frac|5|1|3}} per character plus padding to integer plus 2 for a run;12;{{frac|5|1|3}};8–12 depending on if the low bytes of the surrogates need to be escaped.;{{frac|5|1|3}};8;{{frac|5|1|3}};
