Product;Creator;Latest stable release date;Latest stable release;Latest testing release;License;Runs on Windows;Runs on Mac OS X;Runs on Linux;Oracle;MySQL;PostgreSQL;MS SQL Server;ODBC;JDBC;SQLite;Other;Programming language;
Adminer;Jakub Vrána;2018-06-28;4.6.3[1];none distributed;Apache License or GPL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;{{yes}};;PHP;
DaDaBIK;Eugenio Tacchini;2012-04-03;4.4;{{dunno}};Proprietary;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;PHP;
Database Deployment Manager;The Unauthorized Frog project;2012-05-29;v0.1i;{{dunno}};LGPL;{{yes}};{{no}};{{yes}};;{{yes}};;;;;;;Qt/C++;
DatabaseSpy;Altova;2013-06-12;v2013r2sp1;{{dunno}};Proprietary;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;IBM DB2, Sybase, MS Access;C++;
Database Workbench;Upscene Productions;2017-06-29;5.3.2;{{dunno}};Proprietary;{{yes}};{{Depends|requires Wine}};{{Depends|requires Wine}};{{yes}};{{yes}};;{{yes}};{{yes}};;;InterBase, Firebird, SQL Anywhere, NexusDB and MariaDB;Delphi;
DataGrip;JetBrains;2017-09-06;2017.2.2;2017.3 RC, build 173.3727.95;Proprietary;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};Sybase, DB2, H2, Hypersonic SQL, Amazon Redshift, Apache Derby;Java;
DBeaver;Serge Rider;2018-10-21;5.2.3;{{dunno}};Apache License;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};MySQL, PostgreSQL, Oracle, EXASOL, IBM DB2, SQL Server, Apache Derby, Firebird all with JDBC driver;Java;
DBEdit;Jef Van Den Ouweland;2011-03-18;2.4;{{dunno}};GPL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};IBM DB2, HSQLDB, Apache Derby, H2;Java;
Epictetus;Antilogic Software;{{dunno}};{{dunno}};1.0 (2009-06-17);Proprietary;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;;;Sybase, InterBase/Firebird, H2, HSQLDB;Java;
ER/Builder Data Modeler;SoftBuilder;2018-10-15;1.0;{{dunno}};Freeware;{{yes}};{{No}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};;;;InterBase, Firebird and MariaDB;;
HeidiSQL;Ansgar Becker;2017-12-19;9.5;{{dunno}};GPL;{{yes}};{{Depends|requires Wine}};{{Depends|requires Wine}};;{{yes}};{{yes}};{{yes}};;;;;Embarcadero Delphi;
Maatkit;Baron Schwartz;2010-06-01;5247;discontinued since 2011;GPL;{{yes}};{{yes}};{{yes}};;{{yes}};;;;;;;Perl;
Microsoft SQL Server Management Studio;Microsoft;2018-05-9[2];17.7;{{dunno}};Proprietary;{{yes}};{{no}};{{no}};;;;{{yes}};;;;including SSAS management, and MDX, DMX, and XMLA languages;.Net;
ModelRight;ModelRight;{{dunno}};3.6;3.7;Proprietary;{{yes}};{{no}};{{no}};{{yes}};{{yes}};;{{yes}};{{yes}};;;SQL Server, Oracle, MySQL, PostgreSQL, DB2, DB2/zOS, MS Access;C++;
MySQL Workbench;Oracle Corporation;2017-02-07;6.3.9;?;Community Ed: GPL Standard Ed: Commercial Proprietary;{{yes}};{{yes}};{{yes}};;{{yes}};;;;;;;C++/C# Objective-C Python (programming language);
Navicat;PremiumSoft CyberTech Ltd.;2018-07-26;12.1;?;Proprietary;{{yes}};{{yes}};{{Depends|requires Wine}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;Borland Delphi Objective-C;
Navicat Data Modeler;PremiumSoft CyberTech Ltd.;2015-12-10;2.1;?;Proprietary;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;Borland Delphi Objective-C;
Oracle Enterprise Manager;Oracle Corp.;2015-06-16;12.1.0.5;{{dunno}};Proprietary;{{yes}};{{No}};{{yes}};{{yes}};{{yes}};;{{yes}};;;;DB2, Sybase, TimesTen;Java;
Oracle SQL Developer;Oracle Corp.;2018-04-05;18.1.0.095.1630;?;Proprietary;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};;Microsoft Access, Sybase, DB2, Teradata;Java;
Orbada;Andrzej Kaluza;2014-08-13;1.2.2.335;none;GPL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Firebird, HSQL, InterBase, Derby all with JDBC driver;Java;
pgAdmin III;pgAdmin Development Team;2012-09-11;1.22.2;{{dunno}};PostgreSQL License;{{yes}};{{yes}};{{yes}};;;{{yes}};;;;;;C++;
phpLiteAdmin;Dane Iracleous;2016-12-14;1.9.7.1[3];{{dunno}};GPL;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};;PHP;
phpMyAdmin;phpMyAdmin Development Team;{{phpMyAdmin version|releasedate}};{{phpMyAdmin version}};none;GPL;{{yes}};{{yes}};{{yes}};;{{yes}};;;;;;Drizzle, MariaDB;php;
SQL Database Studio;Jan Prochazka;2016-05-27;3.4.1;;Proprietary;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};;;;;.NET, WPF, C#;
