IRC daemon;Windows;DOS;Mac OS;Linux;BSD;Solaris;HP-UX;AIX;select();poll();epoll[57];kqueue[58];threads;RT signals[59];/dev/poll[60];Windows IOCP[61];Solaris IOCP[62];
Bahamut;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
bIRCd;{{yes}};{{no}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};
Charybdis;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};
ConferenceRoom;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{no}};{{yes}};{{yes}};{{no}};
FoxEye ircd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{unk}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
InspIRCd[63][64];{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{no}};{{yes}};{{yes}};{{yes}};
IRCD[65];{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
ircd-hybrid;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
ircd-ratbox;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
ircu;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
ithildin;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{yes}};{{yes}};{{no}};{{yes}};{{unk}};{{no}};{{no}};{{no}};{{no}};
kike;{{no}};{{no}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
miniircd;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Nefarious IRCu;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
ngIRCd;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
OfficeIRC Server;{{yes}};{{no}};{{yes}};{{partial|Emulated}};{{yes}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{yes}};{{no}};
PleXusIRCd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{no}};{{no}};
pureIRCd;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};
RockIRCd;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};
RubIRCd;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
ShadowIRCd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
snircd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{no}};{{yes}};{{no}};{{no}};
solid-ircd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{no}};{{yes}};{{no}};{{no}};
