Kernel;Acorn ADFS;Amiga FFS;BeFS;BFS;cramfs;EFS;ext2;ext3;ext4;F2FS;FAT;FreeVxFS;HFS;HFS+;HPFS;ISO 9660;JFFS;JFFS2;JFS;MINIX fs;NSS;NTFS;OCFS;QNX4 FS;System V FS;UDF;UFS;XFS;ZFS;ReiserFS;Reiser4;Btrfs;HAMMER;Tux3;exFAT;ReFS;
DragonFly BSD kernel;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{partial|limited write}};{{No}};{{No}};{{No}};{{partial|read only}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
FreeBSD kernel;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{partial|limited write}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{partial|read only}};{{Yes}};{{partial|read only}};{{No}};{{No}};{{no}};{{no}};{{dunno}};{{No}};
Linux kernel;{{partial|Yes}} [25];{{Yes}};{{partial|read only}};{{Yes}};{{Yes}};{{partial|read only}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{partial|read only}};{{Yes}};{{partial|limited write (only with empty journal)}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{partial|Yes (Full R/W with additional userspace driver)[26]}};{{Yes}};{{partial|Yes}} [25] [27];{{partial|write support?}};{{Yes}};{{partial|Yes}} [25];{{Yes}};{{Yes| both FUSE and native}};{{yes}};{{Yes}};{{yes}};{{no}};{{yes}};{{partial|Yes.(Requires userspace driver due to patent concerns[28])}};{{No}};
MINIX 3 kernel;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{No}};{{no|Tools available, cannot mount}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{No}};
NetWare kernel;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{No}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};
ReactOS kernel;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{No}};{{yes}} [29];{{no}};{{no}};{{no}};{{no}};{{yes}} [29];{{no}};{{no}};{{no}};{{no}};{{no}};{{partial|Read only}};{{no}};{{no}};{{no}};{{yes}} [29];{{no}};{{no}};{{no}};{{no}};{{no}};{{partial|Yes}} [30];{{no}};{{no}};{{no}};{{no}};
Solaris kernel;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};
Windows NT kernel;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{partial|Yes}} [31];{{partial|Yes}} [32];{{partial|Yes}} [32];{{no}};{{yes}};{{dunno}};{{partial|Yes}} [33];{{partial|Yes}} [33];{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{partial|Yes}} [30];{{no}};{{no}};{{yes}};{{yes}};
XNU;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{partial|Yes}} [34];{{partial|Yes}} [34];{{No}};{{no}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{partial|Read-Only}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{partial|read only}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
