;2011[111];2012[112];2013[113];2014[114];2015[115];2016[116];2017[117];Total;
{{CHN}};19;19;15;16;19;22;18;128;
{{IND}};3;2;4;5;5;7;5;31;
{{JPN}};3;2;3;4;4;4;7;27;
{{IRN}};1;3;1;-;1;-;1;7;
{{PRK}};-;2;-;-;-;1;-;3;
{{ISR}};-;-;-;1;-;1;-;2;
{{KOR}};-;-;1;-;-;-;-;1;
Total;26;28;24;26;29;35;31;
