Name;Windows;macOS;Linux;BSD;
ACDSee;{{yes}};{{yes}};{{no}};{{no}};
Adobe Bridge;{{yes}};{{yes}};{{no}};{{no}};
Adobe Photoshop Lightroom;{{yes}};{{yes}};{{no}};{{no}};
Aperture;{{no}};{{yes}};{{no}};{{no}};
CDisplay;{{yes}};{{no}};{{no}};{{no}};
Comix;{{no}};{{no}};{{yes}};{{no}};
digiKam;{{partial}};{{yes}};{{yes}};{{yes}};
Eye of GNOME (aka Image Viewer);{{no}};{{no}};{{yes}};{{yes}};
FastPictureViewer;{{yes}};{{no}};{{no}};{{no}};
FastStone Image Viewer;{{yes}};{{no}};{{no}};{{no}};
F-Spot;{{no}};{{no}};{{yes}};{{no}};
Geeqie;{{no}};{{yes}};{{yes}};{{yes}};
Gonvisor;{{yes}};{{yes}};{{no}};{{no}};
GraphicConverter;{{no}};{{yes}};{{no}};{{no}};
gThumb;{{no}};{{no}};{{yes}};{{yes}};
Gwenview;{{no}};{{no}};{{yes}};{{yes}};
iPhoto;{{no}};{{yes}};{{no}};{{no}};
IrfanView;{{yes}};{{no}};{{no}};{{no}};
KSquirrel;{{no}};{{no}};{{yes}};{{no}};
KPhotoAlbum;{{no}};{{no}};{{yes}};{{yes}};
Lphoto;{{no}};{{no}};{{yes}};{{yes}};
Microsoft Photos;{{yes}};{{no}};{{no}};{{no}};
nomacs;{{yes}};{{yes}};{{yes}};{{yes}};
Phase One Media Pro;{{yes}};{{yes}};{{no}};{{no}};
Paint.NET;{{yes}};{{no}};{{no}};{{no}};
Apple Photos;{{no}};{{yes}};{{no}};{{no}};
Picasa;{{yes}};{{yes}};{{no}};{{no}};
Preview;{{no}};{{yes}};{{no}};{{no}};
Shotwell;{{no}};{{no}};{{yes}};{{yes}};
Simple Comic;{{no}};{{yes}};{{no}};{{no}};
STDU Viewer;{{yes}};{{no}};{{no}};{{no}};
Windows Photo Gallery;{{yes}};{{no}};{{no}};{{no}};
Windows Photo Viewer;{{yes}};{{no}};{{no}};{{no}};
XnView;{{yes}};{{no}};{{no}};{{no}};
XnViewMP;{{yes}};{{yes}};{{yes}};{{no}};
Xv;{{no}};{{no}};{{yes}};{{yes}};
Zoner Photo Studio;{{yes}};{{no}};{{no}};{{no}};
