Shell;Functions;Exception handling;Search & replace on variable substi­tutions;Arith­metic;Floating point;Math function library;Linear arrays or lists;Assoc­iative arrays;Lambda functions;eval func­tion;Pseudo­random number generation;Bytecode;
Bourne shell 1977 version;{{no}};{{yes| Yes (via trap)}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Bourne shell current version;{{yes| Yes since SVR2}};{{yes| Yes (via trap)}};{{no}};{{yes}}[29];{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
POSIX shell;{{yes}};{{yes| Yes (via trap)}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
bash (v4.0);{{yes}};{{yes| Yes (via trap)}};{{yes|Yes (via ${//} syntax)}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|Yes ($RANDOM) }};{{no}};
csh;{{no}};{{no}};{{yes|Yes (via $var:s/// syntax)}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
tcsh;{{no}};{{no}};{{yes|Yes (via $var:s/// syntax)}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Hamilton C shell;{{yes}};{{no}};{{yes|Yes (via $var:s/// syntax)}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes| Yes (random utility)}};{{no}};
Scsh;{{yes}};?;{{yes|Yes (via string functions and regular expressions)}};?;?;?;{{yes}};?;{{yes}};{{yes}};{{yes|Yes (random-integer, random-real)}};{{yes|Yes (compiler is Scheme48 virtual machine, via scshvm)}};
ksh (ksh93t+);{{yes}};{{yes| Yes (via trap)}};{{yes|Yes (via ${//} syntax and builtin commands)}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|Yes ($RANDOM)}};{{yes|Yes (compiler is called shcomp)}};
pdksh;{{yes}};{{yes| Yes (via trap)}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes|Yes ($RANDOM)}};{{no}};
zsh;{{yes}};{{yes}};{{yes|Yes (via ${:s//} and ${//} syntax)}};{{yes}};{{yes}};{{yes|Yes (zsh/mathfunc module)}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|Yes ($RANDOM)}};{{yes|Yes (built-in zcompile command)}};
ash;{{yes}};{{yes}} (via trap);{{no}};{{yes|Yes (since 1992)[57]}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
CCP;{{no}};?;{{no}};{{no}};?;?;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
COMMAND.COM;{{no}};{{partial}} (only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS));{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
OS/2 CMD.EXE;{{no}};{{no}};{{no}};?;{{no}};{{no}};?;{{no}};{{no}};{{no}};{{no}};{{no}};
Windows CMD.EXE;{{yes|Yes (via CALL :label)}};{{no}};{{yes|Yes (via SET %varname:expression syntax)}};{{yes|Yes (via SET /A)[58]}};{{no}};{{no}};{{yes|Yes (via SET[59])}};{{no}};{{no}};{{no}};{{yes|Yes (%random%)}};{{no}};
4DOS;{{yes}};{{yes|Yes (via ON command, optional Auto-fail via 4DOS /F)}};{{yes|Yes (via %@Replace[…] function)}};{{yes|Yes (via SET /A)}};?;?;{{yes|Yes (via ranges, include lists, @file lists and FOR command)}};{{no}};{{no}};{{yes}};{{yes|Yes (%@Random[…] function)}};{{yes|Yes (via BATCOMP command)}};
4OS2;?;?;?;?;?;?;?;?;{{no}};{{yes}};{{yes}} (%@Random[…] function);?;
TCC (formerly 4NT);{{yes}};{{yes|Yes (via ON and various …MONITOR commands)}};{{yes|Yes (via %@Replace[…] function)}};{{yes|Yes (via SET /A)}};?;?;{{yes|Yes (via ranges, include lists, @file lists and FOR command)}};?;{{no}};{{yes}};{{yes}} (%@Random[…] function);{{yes}} (via BATCOMP command);
PowerShell;{{yes}};{{yes}} (Try-Catch-Finally);{{yes|Yes (-replace operator)}};{{yes}};{{yes}};{{yes|[Math] class}}[60];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Yes, automatic}};
rc;{{yes}};{{yes}};{{no}};?;?;?;{{yes}};?;{{no}};{{yes}};{{no}};{{no}};
BeanShell;{{yes}};{{yes}};?;{{yes}};?;?;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
VMS DCL;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes|yes, for compiled programs}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
fish;{{yes}};{{yes| Yes (via trap)}};{{no}};{{Optional|Optional {{ref|fishmath|fish math}}}};{{Optional|Optional {{ref|fishmath|fish math}}}};{{Optional|Optional {{ref|fishmath|fish math}}}};{{yes}};{{no}};{{no}};{{yes}};{{yes|Yes (random)}};{{no}};
