API;Desktop support;Embedded system support;License;
Direct3D;Microsoft Windows, Xbox{{Citation needed|date=June 2014}};Windows Embedded,[1] Windows CE (through Direct3D Mobile){{Citation needed|date=June 2014}};{{Proprietary}}[2];
OpenGL;Cross-platform[3];Cross-platform through OpenGL ES[4];Open standard,[3] some features patented;
