;Trident;Tasman;Gecko;WebKit;KHTML;Presto;Prince XML;
MathML;{{no}};rowspan="4" {{no}};{{yes|1.0}};{{no}}[12];{{no}};{{yes|2.1}};{{yes|6.0}};
SVG;{{yes|5.0}};{{yes|1.8}};{{yes|522}};{{yes|3.2}};{{yes|1.0}};{{yes|5.1}};
XForms;rowspan="2" {{no}};{{no}}[13];{{no}}[14];rowspan="2" {{no}};{{no}};?;
VoiceXML;{{no}};{{no}};{{yes|1.0}};{{no}};
