Software;BibTeX;Endnote/Refer/BibIX;Medline;MODS XML;RIS;Other;
Aigaion;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no|none}};
Bebop;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes|unAPI}};
BibBase;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
BibDesk;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes|Endnote XML, user customizable}};
BibSonomy;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes|various [1]}};
Bibus;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|SQLite}};
Bookends;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|various user-customizable}};
Citavi;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various}};
CiteULike;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes|COinS, Delicious}};
colwiz;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes| EndNote XML, CSL formatted HTML}};
EndNote;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|various[16]}};
F1000Workspace;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes|CSV}};
JabRef;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|BibTeXML, DocBook, HTML, OpenDocument for OO.o, RTF, SQL database, user-customizable}};
KBibTeX;{{yes}};{{yes}};{{no}};{{depends}}[17];{{yes}};{{yes|PDF, PostScript, HTML, XML, RTF}};
Mendeley;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes|Endnote XML}};
Paperpile;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no|none}};
Papers;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes|Bookends, CSV, Endnote XML, PDF}};
Pybliographer;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|Ovid}};
ReadCube;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no|none}};
Qiqqa;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
refbase;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|COinS, OpenDocument for OO.o, SRW XML via SRU, unAPI, Word XML}};
RefDB;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|SRW XML via SRU web service, DocBook, TEI}};
Reference Manager;{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes|MEDLARS, TSV, CSV, Reference Manager XML, user-customizable}};
Referencer;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
RefWorks;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|RIS, BibTeX, Tab delimited or XML metadata}};
SciRef;{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes|Plain text, RTF}};
Sente;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes|user-customizable}};
Wikindx;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|COinS, RTF, HTML, ADS, Word BIB}};
WizFolio;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Zotero;{{yes}};{{yes}};{{yes|as of version 4.0}}[18];{{yes}};{{yes}};{{yes|COinS, CSV, Several RDF format standards, TEI, Wikipedia citation templates, Endnote XML, CSL JSON, Refer/BiblX, RefWorks tagged}};
