Name;GUI;CLI;Scripting;Horizontal / Vertical;Syntax Highlighting;Reports;
Beyond Compare;{{Yes}};{{Yes}};{{Yes}};{{Yes|Both}};{{Yes}};{{Yes|XML, HTML, CSV, Text, Unix Patch}};
Compare++;{{Yes}};{{Yes}};;{{Yes|Both}};{{Yes}};{{Yes|HTML, Text(combined or side-by-side) }};
diff;{{No}};{{Yes}};;{{No|Horizontal}};{{yes}} pipe to diff-highlight[31];;
diff3;{{No}};{{Yes}};;{{No|Horizontal}};;;
Eclipse (compare);{{Yes}};;;{{No|Vertical}};{{Yes}};;
Ediff;{{Yes}};{{Yes}};{{Yes|elisp}};{{Yes|Both}};{{Yes}};;
ExamDiff Pro;{{Yes}};{{Yes}};;optional;{{Yes}};{{Yes|UNIX, HTML, Diff}};
Far Manager (compare);{{Yes}};{{Yes}};{{Yes}};;{{Yes}};{{No}};
fc;{{No}};{{Yes}};;{{No|Horizontal}};;;
FileMerge (aka opendiff);{{Yes}};{{Yes}};;{{No|Vertical}};{{Yes}};{{No}};
Guiffy SureMerge;{{Yes}};{{Yes}};{{Yes|Java API}};{{Yes|Both}};{{Yes}};{{Yes|HTML, Text, Unix Patch}};
IntelliJ IDEA (compare);{{Yes}};;;{{No|Vertical}};{{Yes}};;
jEdit JDiff plugin;{{Yes}};;;{{Yes|Both}};{{Yes}};;
Kompare;{{Yes}};;;{{No|Vertical}};{{No}};;
Lazarus Diff;{{Yes}};;;;{{Yes}};;
Meld;{{Yes}};{{No}};;{{No|Horizontal}};{{Yes}};{{No}};
Notepad++ (compare);{{Yes}};{{Yes}};;{{Yes|Both}};{{Yes}};{{No}};
Perforce P4Merge;{{Yes}};{{Yes}};;{{No|Vertical}};{{No}};{{No}};
Pretty Diff;{{Yes}};{{Yes}};{{Yes|JavaScript}};{{Yes|Both}};{{Yes}};{{Yes| XHTML}};
Tkdiff;{{Yes}};;;;;;
Total Commander (compare);{{Yes}};;;{{Yes|Both}};{{No}};{{No}};
vimdiff;{{Yes}};{{Yes}};{{Yes|vim script}};{{Yes|Both}};{{Yes}};{{Yes|HTML}};
WinDiff;{{Yes}};{{Yes}};;{{No|Horizontal}};{{No}};{{Yes|Text}};
WinMerge;{{Yes}};{{Yes}};;{{No|Vertical}};{{Yes}};{{Yes|CSV, Tab-delimited, HTML, XML}};
UCC;{{Yes}};{{Yes}};;{{No|Vertical}};{{Yes}};{{Yes|Text, CSV}};
Name;GUI;CLI;Scripting;Horizontal / Vertical;Syntax Highlighting;Reports;
