File system;DOS;Windows 9x;Windows NT;Linux;"classic" Mac OS;macOS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;
APFS;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}} (Since macOS Sierra);{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BeeGFS;{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};
DECtape;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Level-D;{{no}};{{no}};{{no}};{{dunno}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
RT-11;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Version 6 Unix file system (V6FS);{{no}};{{no}};{{no}};{{dunno}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Version 7 Unix file system (V7FS);{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FAT12;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}} (via dosdir, dosread, doswrite);{{yes}};{{dunno}};
FAT16 / FAT16B / FAT16X;{{yes}} (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}} (via dosdir, dosread, doswrite, not FAT16X);{{yes}};{{dunno}};
FAT32 / FAT32X;{{yes}} (from DOS 7.10);{{yes}} (from Windows 95 OSR2);{{yes}} (from Windows 2000);{{yes}};{{yes}}?;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
