Name;Operating system;User interface;Sector by sector{{efn|name="Raw"}};File by file{{efn|name="File"}};Hot transfer{{efn|name="LiveCopy"}};Mount or extract{{efn|Extracting is the process of browsing a disk image and retrieving some of the files that it contains, one users choice. Mounting a disk image is the process of make the disk image content available to the user as if he or she is accessing a physical read-only disk.}};Verify;Operation model;License;Maintained?;Last version release date;
Standalone;Client–server;Offline (From a Live OS);
Acronis True Image[1];Windows;Graphical;{{yes}}{{Efn|name="ATIht"}};{{Yes|FAT32, NTFS}}{{Efn|name="ATIH-Linux"}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}} (64 MB);{{Nonfree|Trialware}}{{Efn|name="ATItryv"}};{{yes}};{{dunno}};
Apple Software Restore;OS X;Command-line;{{yes}};{{yes|HFS+}};{{no}};{{yes|via hdiutil}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{Depends|Part of macOS}};{{dunno}};{{dunno}};
Clonezilla[2];Linux / Windows;Text-based;{{yes}};{{yes|FAT12, FAT16, FAT32, NTFS, ext2, ext3, ext4, reiserfs, reiser4, xfs, jfs, btrfs, f2fs, nilfs2, HFS+, UFS, minix, VMFS3}};{{no}};{{Partial|Through a hack}}[3];{{dunno}};{{yes}};{{yes}} (Clonezilla server edition);{{yes}} (210 MB);{{Free|GPL}};{{yes}};September 2017;
dcfldd;Linux;Command-line;{{yes}};{{no}};{{no}};{{yes}};{{dunno}};{{yes}};{{no}};{{dunno}};{{Free|GPL}};{{dunno}};{{dunno}};
dd (Unix);Unix;Command-line;{{yes}};{{no}};{{no}};{{yes}}{{efn|name="Loop device"}};{{dunno}};{{yes}};{{no}};{{yes}}{{efn|name="dd"}};{{Free|BSD/CDDL/GNU/others}};{{dunno}};{{dunno}};
Disk Utility;OS X;Graphical;{{yes}};{{yes|HFS+}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{yes}};{{Depends|Part of Mac OS X}};{{dunno}};{{dunno}};
FSArchiver;Linux;Text-based;{{no}};{{yes|FAT32, btrfs, ext2, ext3, ext4, ReiserFS-4, HPFS, JFS, XFS}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{Free|GPL}};{{dunno}};{{dunno}};
Ghost v15[4];Windows;Graphical Command-line;{{yes}};{{yes|FAT32, NTFS, HPFS, ext2, ext3 [5]}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{Nonfree|Trialware}};{{dunno}};{{dunno}};
GParted Live CD[6];Linux;Graphical;{{no}};{{yes|ext2, ext3}};{{no}};{{no}};{{dunno}};{{yes}};{{no}};{{yes}};{{Free|GPL}};{{yes}};{{dunno}};
HDClone[7];Windows, (Linux[8]);Graphical, Command-line;{{yes}};{{Yes| FAT16, FAT32, ExFAT, NTFS, ReFS, ext2, ext3, ext4, XFS, HFS+}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{yes}};{{Nonfree|Freemium}};{{yes}};January 2017;
Image for Windows;Windows;Graphical;{{yes}};{{yes|FAT32, NTFS, ext2, ext3}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{yes}};{{Nonfree|Trialware}};{{dunno}};{{dunno}};
IsoBuster[9];Windows;Graphical;{{yes}};{{yes|FAT12, FAT16, FAT32, ExFAT, NTFS, ext2, ext3, ext4, MFS, HFS, HFS+, UDF, XFS[10]}};{{no}};{{yes}};{{dunno}};{{yes}};{{no}};{{yes}};{{Nonfree|Trialware}};{{Yes}};December 2018;
Kleo Bare Metal Backup;Independent (Live OS);Graphical;{{yes}};{{yes|FAT32, NTFS, ext2, ext3, HFS+}};{{no}};{{dunno}};{{dunno}};{{no}};{{yes}};{{yes}} (570 MB);{{Free|Freeware}};{{dunno}};February 2010;
Mondo Rescue[11];Linux;Text-based;{{yes}};{{yes|FAT32, NTFS, ext2, ext3}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}} *{{efn|name="Mindi-Linux"}};{{Free|GPL}};{{dunno}};{{dunno}};
ntfsclone[12][13];Linux;Command-line;{{no}};{{yes|NTFS}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}}{{efn|name=compilation}};{{Free|GPL}};{{dunno}};{{dunno}};
Paragon Hard Disk Manager;Windows, OS X;Graphical;{{yes}};{{yes|FAT16, FAT32, ext2, ext3, NTFS, BTRfs, HFS+, ReFS, XFS}}[14];{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};Commercial;{{yes}};October 2017;
partimage[15][16];Linux;Text-based;{{no}};{{yes|FAT32, ext2, ext3, ReiserFS-3, HPFS, JFS, XFS; UFS (beta), HFS (beta), NTFS (experimental)}}[17];{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{no}}{{efn|name=compilation}};{{Free|GPL}};{{dunno}};{{dunno}};
Partition-Saving[18];Windows, Linux, DOS;Text-based Command-line;{{yes}};{{yes|FAT32, NTFS, ext2, ext3}};{{no}};{{yes}};{{dunno}};{{yes}};{{no}};{{yes}};{{Free|Freeware}};{{dunno}};{{dunno}};
Redo Backup and Recovery;Independent (Live OS);Graphical;{{yes}};{{yes|FAT32, NTFS, ext2, ext3, ext4}};{{no}};{{no}};{{dunno}};{{no}};{{Partial|Can access networked drives}};{{yes}} (225 MB);{{Free|GPL}};{{dunno}};November 2012;
