Client name;Platform;License;WebDAV ACL editor;Discovery of other user’s collections;ICalendar events;ICalendar tasks;ICalerdar journals;ICalendar VAVAILABILITY (RFC 7953);CalDAV Scheduling;CardDAV;vCard Synchronization;User interface;Online store;.well-known URLs;FBURL;DNS SRV;handles home-sets;
AgenDAV[1];Cross-platform JavaScript Web browser;{{GPL-lic}};{{yes}} limited;{{no}};{{yes}};{{n/a}};{{unk}};{{no}};{{no}} Does not arrange meetings with participants;{{n/a}};out of scope;AgenDAV's fullcalendar.io;{{no}};{{no}} The used server is fixed in the configuration file;{{no}} Does not arrange meetings with participants;{{no}} the caldav-server settings need to be fixed in AgenDAV’s configuration file;{{yes}};
Cadaver[2];Command-line;{{GPL-lic}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
aCal[3];Android;{{GPL-lic}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{n/a}};{{unk}};aCal;{{yes|aCal}};{{unk}};{{unk}};{{unk}};{{unk}};
AndroidCaldavSyncAdapater[4];Android;{{GPL-lic}};{{unk}};{{unk}};{{yes}};{{n/a}};{{unk}};{{unk}};{{unk}};{{n/a}};out of scope;Android;{{yes|Google Play}};{{unk}};{{no}} Out of scope;{{unk}};{{unk}};
CalDavZAP[5];Cross-platform JavaScript Web browser;{{free|AGPL}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{no}};{{no}} Does not arrange meetings with participants;{{n/a}};out of scope;CalDavZAP;{{no}};{{no}} The used server is fixed in the configuration file;{{no}} Does not arrange meetings with participants;{{no}} The used server is fixed in the configuration file;{{yes}};
CardDavMATE[6];Cross-platform JavaScript Web browser;{{free|AGPL}};{{no}};{{no}};out of scope;out of scope;out of scope;out of scope;out of scope;{{yes}} vCard 3.0 only;{{no}};CardDavMATE;{{no}};{{no}} The used server is fixed in the configuration file;{{no}} Out of scope;{{no}} The used server is fixed in the configuration file;{{yes}};
InfCloud (CalDavZAP+CardDavMATE)[7];Cross-platform JavaScript Web browser;{{free|AGPL}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{no}};{{no}} Does not arrange meetings with participants;{{yes}} vCard 3.0 only;{{no}};InfCloud;{{no}};{{no}} The used server is fixed in the configuration file;{{no}} Does not arrange meetings with participants;{{no}} The used server is fixed in the configuration file;{{yes}};
Chandler Desktop[8];Cross-platform Python;{{free|Apache}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{no}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
DAVdroid[9];Android;{{GPL-lic}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{no}} Out of scope;{{no}};{{yes}};{{no}} Server always wins;Android, OpenTasks;{{yes|Google Play, OpenTasks}};{{yes}};{{no}} Out of scope;{{yes}};{{yes}};
jqCalDAV[10];Cross-platform JavaScript Web browser;{{free|MIT}};{{unk}};{{unk}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{n/a}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
