Name;Version;Software license;Active;Type;Windows;macOS;Linux;Textual editor?;Tree View editor?;Graphical editor?;WYSIWYG editors?;XML Schema Editor?;Syntax highlighting for (XML, XSD, XSL, XSLT...);Tag Folding;Intellisense/ Auto­completion (using schema.xsd for text);XPath search;XML diff/merge;Full- featured free trial period;
Adobe FrameMaker;2015 release;{{proprietary}};{{yes}};Standalone;{{yes}};{{No}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};
Altova XMLSpy;2018;{{proprietary}};{{yes}};Standalone Eclipse Plugin, Visual Studio Plugin;{{yes}};{{no}}[1];{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};30;
CAM Editor;3.2.2 (2015);{{free|Open Source}};{{Yes}};Standalone;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{no}};;;{{N/A}};
emacs/ nxml-mode;current;{{GPL-lic}};{{dunno}};Emacs mode;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};;;{{dunno}};
FontoXML;7.3.2 (July 2018);{{Proprietary}};{{yes}};Web-app;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
jEdit XML Plugin;3.0.6 (Jun 2017);{{GPL-lic}};{{yes}};Plugin;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[2];{{yes}}[3];{{no}};{{yes}};{{yes}};{{yes}};{{yes}}[4];{{yes}};{{no}};{{N/A}};
Liquid XML Studio;12.0.3 (2014);{{proprietary}};{{yes}};Standalone + Visual Studio Plugin;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Oxygen XML Editor;20.0 (2018);{{proprietary}};{{yes}};Standalone + Eclipse Plugin[5]Web-App;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};30;
Quark Author Web Edition on Quark Publishing Platform;10.5 (2014);{{proprietary}};{{yes}};Web-App;{{yes}};{{yes}};{{yes}};{{no}};Sections Only;{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};;;{{n/a}};
Quark XML Author;4.8 (2014);{{proprietary}};{{yes}};Microsoft Word Plugin;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{no}};;;{{n/a}};
QXmlEdit project;0.9.10 (2018);{{free|LGPLv2}};{{Yes}};Standalone;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{N/A}};
Stylus Studio;X15 R2 (2014);{{proprietary}};{{yes}};Standalone;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};
Syntext Serna;4.4 (2011);{{proprietary}};{{no}};Standalone;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{N/A}};
Xeditor;2.0;{{proprietary}};{{yes}};Web-app;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};;;{{yes}};
Xerlin;1.3 (2005);{{free|Open Source}};{{no}};Standalone;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;;{{dunno}};
XMetaL;13.0 (2018);{{proprietary}};{{yes}};Standalone;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};
XMLBlueprint XML Editor;14 (2017);{{proprietary}};{{yes}};Standalone;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
XML Edita for Mac;1.1.13 (2018);{{proprietary}};{{yes}};Standalone;{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
XML Exchanger;3.3.1 (2010);{{GPL-lic}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;n/a;
XML ValidatorBuddy;6.4 (2018);{{proprietary}};{{yes}};Standalone;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
XML Marker;2.2 (2013);{{proprietary}};{{yes}};Standalone;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
XMLmind;8.2 (August 27, 2018);{{proprietary}};{{yes}};Standalone;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
XML Notepad;2.6 (2014);{{Free|Microsoft Public License}};{{yes}};Standalone;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};;;{{yes}};
Xmplify;1.9.0 (2018);{{proprietary}};{{yes}};Standalone;{{No}};{{yes}};{{No}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
