YouTube Downloader;Online;Windows;Mac OS X;Linux;Android;
4KDownload;{{no}};{{yes}};{{yes}};{{yes}};{{no}};
ClipGrab;{{no}};{{yes}};{{yes}};{{yes}};{{no}};
Airy;{{no}};{{yes}};{{yes}};{{no}};{{no}};
Free Studio;{{no}};{{yes}};{{yes}};{{no}};{{no}};
MP3 Rocket;{{no}};{{yes}};{{no}};{{no}};{{no}};
Video DownloadHelper;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Freemake Video Downloader;{{no}};{{yes}};{{no}};{{no}};{{no}};
