;sRGB;Adobe RGB;Indexed;Grayscale;CMYK;LAB;HSV;
Ability Photopaint;{{yes}};{{dunno}};{{yes}};{{yes}};{{partial|Import only}};;;
ACD Canvas;{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};;;
ACDSee (Win);{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Acorn Image Editor;{{yes}};{{yes}};{{partial|Import only}};{{partial|Import only}};{{yes}};{{partial|Import only}};{{partial|Import only}};
Adobe Fireworks*;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
Adobe Photoshop;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Adobe Photoshop Lightroom;{{yes}};{{yes}};{{dunno}};{{yes}};{{partial|Import only}};{{dunno}};{{dunno}};
Affinity Photo;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Autodesk SketchBook Pro;{{yes}};{{dunno}};{{yes}};{{no}};{{no}};;;
Artipic;{{yes}};{{yes}};{{yes}};{{partial|Import only}};{{partial|Import only}};{{partial|Import only}};{{partial|Import only}};
ArtRage;{{yes}};{{dunno}};{{no}};{{no}};{{no}};;;
Artweaver;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;;
Bibble*;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Brush Strokes Image Editor;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;;
Capture One;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Chasys Draw IES;{{yes}};{{no}};{{yes}};{{yes}};{{partial}};{{no}};{{partial}};
CinePaint;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};;
CodedColor PhotoStudio Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
Corel PaintShop Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}}[27];{{partial}}[27];
Corel Painter;{{yes}};{{dunno}};{{no}};{{no}};{{yes}};;;
Corel Photo-Paint;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
darktable;{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Deluxe Paint*;{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};;{{yes}};
