;Directives{{R|group=Note|directives_explanation}};Conditionals;Atomic groups{{R|group=Note|atomic_grouping_explanation}};Named capture{{R|group=Note|named_groups_explanation}};Comments;Embedded code;Unicode property support [20];Balancing groups{{R|group=Note|balancing_groups_explanation}};Variable-length look-behinds{{R|group=Note|varlength_lookbehind_explanation}};
Boost.Regex;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{No}};
Boost.Xpressive;{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{No}};
CL-PPCRE;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{No}};
EmEditor;{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{No}};{{dunno}};{{No}};{{No}};
FREJ;{{No}};{{No}};{{yes}};{{yes}};{{yes}};{{No}};{{dunno}};{{No}};{{No}};
GLib/GRegex;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{No}};
GNU grep;{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{No}};
Haskell;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{No}};{{No}};
Helios RXPF;{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{No}};
ICU Regex;{{yes}};{{no}};{{yes}};{{yes}}{{R|group=Note|available_icu_55}};{{yes}};{{No}};{{yes}};{{No}};{{No}};
Java;{{yes}};{{no}};{{yes}};{{yes}}{{R|group=Note|available_java_7}};{{yes}};{{No}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{No}};
JavaScript (ECMAScript);{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
JGsoft;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{Yes}};
Lua;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{No}};{{No}};
.NET;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{Some}}{{R|group=Note|properties_limited}};{{yes}};{{yes}};
OCaml;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{No}};{{No}};
OmniOutliner 3.6.2;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{dunno}};{{No}};{{No}};
PCRE;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};
Perl;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};
PHP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{No}};
Python;{{yes}};{{yes}};{{yes}}{{R|group=Note|python_regex_only2}};{{yes}};{{yes}};{{No}};{{yes}}{{R|group=Note|python3_regex_only}};{{No}};{{yes}}{{R|group=Note|python_regex_only2}};
Qt/QRegExp;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
RE2;{{yes}};{{No}};?;{{yes}};{{No}};{{No}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{No}};
Ruby;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Some}}{{R|group=Note|properties_limited}};{{No}};{{No}};
Tcl;{{yes}};{{No}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{No}};{{No}};
TRE;{{yes}};{{No}};{{No}};{{No}};{{yes}};{{No}};{{dunno}};{{No}};{{No}};
Vim;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{No}};{{no}};{{No}};{{yes}};
RGX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{No}};{{No}};
XRegExp;Leading only;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{No}};{{No}};
