Program;Operating systems;License;Open source;Protocols;Codecs;Encryption;Other abilities;Latest release;
Acrobits Softphone;Android v2.2+, iOS v7.0+;{{proprietary}};{{No}};SIP;G.711, G.722, iLBC, GSM, G.729;{{Yes|TLS, SRTP, ZRTP}};VOIP over Wi-Fi or 3G iOS only: push notifications, video, number rewriting, address book matching, sms for betamax providers and pennytel;Acrobits Softphone: 3.20 (Android), 5.2 (iOS);
CounterPath Corporation Bria;Android v4.4+, iOS v10+;{{proprietary}};{{No}};SIP;G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus;{{Yes|TLS, SRTP, ZRTP}};Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications.;5.3.4 {{Start date and age| 2018|07|23 }};
CSipSimple;Android;{{free|GPL}};{{yes}};SIP;Opus, AMR-WB, G.722, iSAC, iLBC, Speex, Silk, Codec2, G.726, G711 (PCMA & PCMU), AMR, GSM;{{yes|SRTP, SIP over TLS 1.0 and ZRTP}};{{dunno}};1.02.02;
Google Duo;iOS, Android;{{proprietary}}, freeware;{{No}};WebRTC;{{dunno}};{{dunno}};One-to-one voice and video calling.;{{Latest stable software release/Google Duo}};
iCall Mobile;iOS v4.3+;{{proprietary}}, freeware;{{No}};SIP AIM ICQ XMPP, Facebook, Yahoo! Messenger, Windows Live;Speex, CELT, WebM;{{Yes|TLS, ZRTP}};VoIP over Wi-Fi or 3G, SMS, voicemail;2.0.1; {{Start date and age|2012|04}};
Jajah Mobile Web;Symbian, Windows Mobile (version unknown);{{Proprietary}};{{No}};{{dunno}};{{dunno}};{{dunno}};web based service, Call back,no download[24];{{dunno}};
JusTex by Juphoon;Android, iOS v5.1+;{{proprietary}};{{No}};SIP;PCMA, PCMU, G.722, iLBC, iSAC, Opus, H.264, VP8, H.263;{{Yes|TLS, TCP, UDP, SRTP}};JusTex Softphone over Wi-Fi or 3G, HD voice and video call, Multiparty call, conference.;3.0.1 (iOS); {{Start date and age|2014|07|13}}; 3.0 (Android); {{Start date and age|2014|07|09}};
Line;Android, iOS;{{proprietary}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;
Line2;Android, iOS;{{proprietary}}, freeware;{{No}};Proprietary with SIP core;{{dunno}};{{dunno}};Tri-mode calling (cellular, 3G/4G data, Wi-Fi), SMS over IP, visual voicemail, 20-person conference calls, auto-attendant, call-forwarding;1.0.4 Android, 3.2.1 iOS;
Media5-fone;iOS, Android;{{proprietary}};{{No}};SIP;PCMA, PCMU, G.722*, iLBC, iSAC*, G.729*;TLS*, SRTP*;Wi-Fi and 3G/4G data, second call*, conference calls*, HD Voice, Bluetooth* (* Additional fees);{{dunno}};
Signal by Open Whisper Systems;iOS, Android;{{free|GPLv3}};{{Yes}};WebRTC[25];Opus[25];{{Yes|TLS, Signal Protocol[25]}};End-to-end encryption by default for everything. CallKit and location privacy,[26] one-to-one and group messaging, video calling,[26] image/video sharing, timed messages, identity verification, screenshot blocking. Android only: SMS/MMS messaging, doodling,[27] GIF sharing.[28];{{Latest stable software release/Signal}};
Sipdroid;Android;{{free|GPL}};{{Yes}};SIP;{{dunno}};{{dunno}};Uses Wi-Fi, 3G or EDGE;2.7;
Tango by TangoME Inc.;iOS, Android, Microsoft Windows, macOS, Windows Phone;{{proprietary}}, freeware;{{dunno}};{{dunno}};{{dunno}};{{dunno}};VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, instant messaging, videoconferencing;{{dunno}};
Truphone;Nokia-Symbian, iOS, Android, BlackBerry;{{proprietary}}, freeware;{{No}};SIP;{{dunno}};{{dunno}};VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, connection management, provisioning;Symbian 4.0, iOS 1.11.1;
Vopium;Symbian, Java ME, Android, BlackBerry RIM, iOS, Windows Mobile 2003 SE and higher;{{proprietary}}, freeware;{{No}};SIP, MSN, Skype, Yahoo, AOL, ICQ, Google Talk, Facebook & Twitter;GSM;{{dunno}};Wi-Fi VoIP, GSM call-through, SMS over IP, least cost routing, synchronising-backup mobile contacts and calendar;2.0;
WhatsApp;Android, BlackBerry, iOS, Symbian, Windows Phone;{{proprietary}}, freeware;{{No}};{{dunno}};{{dunno}};{{yes|ECDH, SRTP}}[29];VoIP and instant messaging over Wi-Fi or a data connection.;{{Latest stable software release/WhatsApp}};
Windows Mobile 6;Windows Mobile 6 Professional/Standard;{{proprietary|Proprietary}};{{No}};SIP to publicly and non-publicly routable servers;{{dunno}};{{dunno}};Wi-Fi Mobile VoIP;6.1;
X-PRO for Pocket PC;Windows Mobile 2003 (earlier versions support Windows PocketPC 2002);{{proprietary|Proprietary, discontinued in April 2007[30]}};{{No}};SIP;{{dunno}};{{dunno}};Supported devices: AudioVox Maestro, Compaq/HP iPAQ: 365x, 37xx, 385x, 395x, hx4700, Dell Axim X51, X51v, Toshiba e550, e570. iPAQ 545x and Toshiba e7xx are not supported.[31];2.2;
Yuilop;Android, iOS, Windows Phone, BlackBerry OS;{{proprietary}}, freeware;{{No}};XMPP, RTP;iLBC;{{Yes|TLS}};VoIP over 3G-4G-LTE and Wi-fi, SMS, group chat, photo sharing, Location sharing, virtual phone numbers;{{Latest stable software release/Yuilop}};
